member_name,role,role_start_date,role_end_date,gender,name
βαρεμενος βασιλειου γεωργιος,β αντιπροεδρος,04/10/2015,18/07/2019,male,georgios_baremenos
χαραλαμπιδου δημητριου δεσποινα,γ αντιπροεδρος βουλης,06/02/2015,04/10/2015,female,despoina_xaralampidou
χατζηγακης μιχαηλ σωτηριος,α αντιπροεδρος βουλης,19/03/2004,27/09/2007,male,sotirios_xatzigakis
βαρουφακης γεωργιου γιανης,αρχηγος κομματος:προεδρος μετωπου ευρωπαικης ρεαλιστικης ανυπακοης,26/03/2018,28/07/2020,male,gianis_baroufakis
χουντης βασιλειου νικολαος,αρχηγος κομματος:γενικος γραμματεας λαικης ενοτητας,09/06/2019,28/07/2020,male,nikolaos_xountis
χριστοδουλοπουλου ζαχαρια αναστασια,γ αντιπροεδρος,04/10/2015,18/07/2019,female,anastasia_xristodoulopoulou
βελοπουλος ιωσηφ κυριακος,αρχηγος κομματος:προεδρος ελληνικης λυσης,28/06/2016,28/07/2020,male,kuriakos_belopoulos
βενιζελος βασιλειου ευαγγελος,αντιπροεδρος κυβερνησης,17/06/2011,21/03/2012,male,euaggelos_benizelos
βενιζελος βασιλειου ευαγγελος,αντιπροεδρος κυβερνησης,25/06/2013,27/01/2015,male,euaggelos_benizelos
βενιζελος βασιλειου ευαγγελος,αρχηγος κομματος:προεδρος πανελληνιου σοσιαλιστικου κινηματος,18/03/2012,14/06/2015,male,euaggelos_benizelos
βενιζελος κυριακου νικητας,ε αντιπροεδρος βουλης,22/10/1993,08/10/1996,male,nikitas_benizelos
βιτσας αθανασιου δημητριος,δ αντιπροεδρος βουλης,18/07/2019,28/07/2020,male,dimitrios_bitsas
βουτσης γεωργιου νικολαος,ιζ προεδρος βουλης,04/10/2015,18/07/2019,male,nikolaos_boutsis
βρεττος σπυριδωνος κωνσταντινος (ντινος),γ αντιπροεδρος βουλης,21/04/2000,19/03/2004,male,konstantinos_brettos
γειτονας ιωαννη κωνσταντινος,α αντιπροεδρος βουλης,21/04/2000,19/03/2004,male,konstantinos_geitonas
γεννηματα γεωργιου φωτεινη (φωφη),αρχηγος κομματος:προεδρος πανελληνιου σοσιαλιστικου κινηματος,14/06/2015,28/07/2020,female,foteini_gennimata
γεννηματα γεωργιου φωτεινη (φωφη),αρχηγος κομματος:προεδρος δημοκρατικης συμπαραταξης,30/08/2015,16/03/2018,female,foteini_gennimata
γεννηματα γεωργιου φωτεινη (φωφη),αρχηγος κομματος:προεδρος κινηματος αλλαγης,17/11/2017,28/07/2020,female,foteini_gennimata
αθανασιου χριστοφα χαραλαμπος,β αντιπροεδρος βουλης,18/07/2019,28/07/2020,male,xaralampos_athanasiou
γρηγορακος γεωργιου λεωνιδας,ε αντιπροεδρος βουλης,18/05/2012,24/06/2013,male,leonidas_grigorakos
δαμανακη θεοδωρου μαρια,α αντιπροεδρος βουλης,04/07/1989,21/11/1989,female,maria_damanaki
δαμανακη θεοδωρου μαρια,β αντιπροεδρος βουλης,21/11/1989,22/04/1990,female,maria_damanaki
δαμανακη θεοδωρου μαρια,αρχηγος κομματος:προεδρος συνασπισμου αριστερας κινηματων και οικολογιας,09/03/1990,19/12/1993,female,maria_damanaki
αλαβανος νικολαου αλεξανδρος,αρχηγος κομματος:προεδρος συνασπισμου αριστερας κινηματων και οικολογιας,12/12/2004,10/02/2008,male,alexandros_alabanos
αλαβανος νικολαου αλεξανδρος,αρχηγος κομματος:προεδρος συνασπισμου ριζοσπαστικης αριστερας,12/12/2004,04/10/2009,male,alexandros_alabanos
δραγασακης ανδρεα ιωαννης,στ αντιπροεδρος,07/10/2008,14/10/2009,male,ioannis_dragasakis
δραγασακης ανδρεα ιωαννης,δ αντιπροεδρος βουλης,29/06/2012,06/02/2015,male,ioannis_dragasakis
δραγασακης ανδρεα ιωαννης,αντιπροεδρος κυβερνησης,23/09/2015,09/07/2019,male,ioannis_dragasakis
δραγασακης ανδρεα ιωαννης,αντιπροεδρος κυβερνησης,27/01/2015,28/08/2015,male,ioannis_dragasakis
δρεττακης γεωργιου εμμανουηλ,ε αντιπροεδρος βουλης,22/04/1990,22/10/1993,male,emmanouil_drettakis
δριβελεγκας κωνσταντινου ιωαννης,ε αντιπροεδρος,09/07/2013,05/02/2015,male,ioannis_dribelegkas
εβερτ αγγελου μιλτιαδης,αρχηγος αξιωματικης αντιπολιτευσης,03/11/1993,21/03/1997,male,miltiadis_ebert
εβερτ αγγελου μιλτιαδης,αρχηγος κομματος:προεδρος νεας δημοκρατιας,03/11/1993,21/03/1997,male,miltiadis_ebert
ζακολικος χρηστου παυσανιας,β αντιπροεδρος βουλης,22/10/1993,08/10/1996,male,pausanias_zakolikos
ζηση αθανασιου ροδουλα,β αντιπροεδρος βουλης,15/10/2009,17/05/2012,female,rodoula_zisi
θεοδωρακης παναγιωτη σταυρος,αρχηγος κομματος:προεδρος ποταμι,26/02/2014,24/11/2019,male,stauros_theodorakis
θεοχαροπουλος στεφανου αθανασιος,αρχηγος κομματος:προεδρος δημοκρατικης αριστερας,07/06/2015,28/07/2020,male,athanasios_theoxaropoulos
κακλαμανης μιχαηλ νικητας,δ αντιπροεδρος βουλης,06/02/2015,18/07/2019,male,nikitas_kaklamanis
κακλαμανης μιχαηλ νικητας,α αντιπροεδρος βουλης,18/07/2019,28/07/2020,male,nikitas_kaklamanis
κακλαμανης χρηστου αποστολος,η προεδρος βουλης,22/10/1993,08/10/1996,male,apostolos_kaklamanis
κακλαμανης χρηστου αποστολος,θ προεδρος βουλης,08/10/1996,21/04/2000,male,apostolos_kaklamanis
κακλαμανης χρηστου αποστολος,ι προεδρος βουλης,21/04/2000,19/03/2004,male,apostolos_kaklamanis
καλαντζης κωνσταντινου γεωργιος,β αντιπροεδρος,29/03/2013,05/02/2015,male,georgios_kalantzis
καμμενος ηλια παναγιωτης (πανος),αρχηγος κομματος:προεδρος ανεξαρτητων ελληνων,24/02/2012,09/06/2019,male,panagiotis_kammenos
κανελλοπουλος πετρου αθανασιος,αντιπροεδρος κυβερνησης,11/04/1990,08/08/1991,male,athanasios_kanellopoulos
κανελλοπουλος πετρου αθανασιος,αντιπροεδρος κυβερνησης,08/08/1991,21/02/1992,male,athanasios_kanellopoulos
καραμανλης αλεξανδρου κωνσταντινος,πρωθυπουργος,10/03/2004,06/10/2009,male,konstantinos_karamanlis
καραμανλης αλεξανδρου κωνσταντινος,πρωθυπουργος,19/09/2007,07/10/2009,male,konstantinos_karamanlis
καραμανλης αλεξανδρου κωνσταντινος,αρχηγος αξιωματικης αντιπολιτευσης,06/10/2009,29/11/2009,male,konstantinos_karamanlis
καραμανλης αλεξανδρου κωνσταντινος,αρχηγος αξιωματικης αντιπολιτευσης,21/03/1997,10/03/2004,male,konstantinos_karamanlis
καραμανλης αλεξανδρου κωνσταντινος,αρχηγος κομματος:προεδρος νεας δημοκρατιας,21/03/1997,29/11/2009,male,konstantinos_karamanlis
