member_name,member_start_date,member_end_date,political_party,administrative_region,gender,name
αγαπηδακη στυλιανου ειρηνη,2023-05-21,2023-05-29,νεα δημοκρατια,επικρατειας,female,eirini_agapidaki
αγαπηδακη στυλιανου ειρηνη,2023-06-25,2023-11-13,νεα δημοκρατια,επικρατειας,female,eirini_agapidaki
αποστολακης στεφανου γεωργιος,2023-06-25,2023-11-13,δημοκρατικο πατριωτικο κινημα νικη,επικρατειας,male,georgios_apostolakis
νταβρης χαραλαμπους γεωργιος,2012-05-06,2012-05-19,ανεξαρτητοι ελληνες - πανος καμμενος,αχαιας,male,georgios_ntabris
νταβρης χαραλαμπους γεωργιος,2014-01-22,2014-12-31,ανεξαρτητοι δημοκρατικοι βουλευτες,αχαιας,male,georgios_ntabris
νταβρης χαραλαμπους γεωργιος,2014-01-13,2014-01-21,ανεξαρτητοι (εκτος κομματος),αχαιας,male,georgios_ntabris
νταβρης χαραλαμπους γεωργιος,2012-06-17,2014-01-12,ανεξαρτητοι ελληνες - πανος καμμενος,αχαιας,male,georgios_ntabris
νταλαρα γεωργιου αννα,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων,female,anna_ntalara
ντεντιδακης εμμανουηλ αντωνιος,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,α' πειραιως,male,antonios_ntentidakis
ντεντιδακης εμμανουηλ αντωνιος,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,α' πειραιως,male,antonios_ntentidakis
ντεντιδακης εμμανουηλ αντωνιος,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,α' πειραιως,male,antonios_ntentidakis
ντεντιδακης εμμανουηλ αντωνιος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,α' πειραιως,male,antonios_ntentidakis
ντζιμανης δημητριου γεωργιος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,κοζανης,male,georgios_ntzimanis
ντινοπουλος βασιλειου αργυρης,2007-09-16,2009-09-07,νεα δημοκρατια,β' αθηνων,male,arguris_ntinopoulos
ντινοπουλος βασιλειου αργυρης,2009-10-04,2012-04-11,νεα δημοκρατια,β' αθηνων,male,arguris_ntinopoulos
ντινοπουλος βασιλειου αργυρης,2012-05-06,2012-05-19,νεα δημοκρατια,β' αθηνων,male,arguris_ntinopoulos
ντινοπουλος βασιλειου αργυρης,2012-06-17,2014-12-31,νεα δημοκρατια,β' αθηνων,male,arguris_ntinopoulos
ντολιος πασχαλη γεωργιος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,εβρου,male,georgios_ntolios
ντολιος πασχαλη γεωργιος,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,εβρου,male,georgios_ntolios
ντολιος πασχαλη γεωργιος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,εβρου,male,georgios_ntolios
ντολιος πασχαλη γεωργιος,2012-05-06,2012-05-19,πανελληνιο σοσιαλιστικο κινημα,εβρου,male,georgios_ntolios
ντολιος πασχαλη γεωργιος,2012-06-17,2014-12-31,πανελληνιο σοσιαλιστικο κινημα,εβρου,male,georgios_ntolios
ντουκακης ιωαννη μανουσος,2012-02-20,2012-04-11,λαικος ορθοδοξος συναγερμος,β' αθηνων,male,manousos_ntoukakis
νυφουδης σταυρου νικολαος,2019-05-07,2019-06-11,το ποταμι,β' θεσσαλονικης,male,nikolaos_nufoudis
νυφουδης σταυρου νικολαος,2019-05-06,2019-05-06,ανεξαρτητοι (εκτος κομματος),β' θεσσαλονικης,male,nikolaos_nufoudis
ξανθοπουλος σαββα θεοφιλος,2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,δραμας,male,theofilos_xanthopoulos
ξανθοπουλος σαββα θεοφιλος,2023-05-21,2023-05-29,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,δραμας,male,theofilos_xanthopoulos
ξανθοπουλος σαββα θεοφιλος,2023-06-25,2023-11-13,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,δραμας,male,theofilos_xanthopoulos
ξανθος γεωργιου ανδρεας,2012-05-06,2012-05-19,συνασπισμος ριζοσπαστικης αριστερας,ρεθυμνης,male,andreas_xanthos
ξανθος γεωργιου ανδρεας,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,ρεθυμνης,male,andreas_xanthos
ξανθος γεωργιου ανδρεας,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,ρεθυμνης,male,andreas_xanthos
ξανθος γεωργιου ανδρεας,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,ρεθυμνης,male,andreas_xanthos
ξανθος γεωργιου ανδρεας,2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,ρεθυμνης,male,andreas_xanthos
αποστολακος γεωργιου γρηγοριος,2007-09-16,2009-09-07,νεα δημοκρατια,λακωνιας,male,grigorios_apostolakos
αποστολακος γεωργιου γρηγοριος,2009-10-04,2012-04-11,νεα δημοκρατια,λακωνιας,male,grigorios_apostolakos
ξενογιαννακοπουλου διονυσιου μαρια ελιζα (μαριλιζα),2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων,female,maria_xenogiannakopoulou
ξενογιαννακοπουλου διονυσιου μαρια ελιζα (μαριλιζα),2012-02-12,2012-04-11,ανεξαρτητοι (εκτος κομματος),β' αθηνων,female,maria_xenogiannakopoulou
ξενογιαννακοπουλου διονυσιου μαρια ελιζα (μαριλιζα),2009-10-04,2012-02-11,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων,female,maria_xenogiannakopoulou
ξενογιαννακοπουλου διονυσιου μαρια ελιζα (μαριλιζα),2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,β1' βορειου τομεα αθηνων,female,maria_xenogiannakopoulou
ξενογιαννακοπουλου διονυσιου μαρια ελιζα (μαριλιζα),2023-05-21,2023-05-29,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,β1' βορειου τομεα αθηνων,female,maria_xenogiannakopoulou
ξηροτυρη-αικατεριναρη γεωργιου ασημινα,2000-04-09,2004-02-11,συνασπισμος της αριστερας των κινηματων και της οικολογιας,α' θεσσαλονικης,female,asimina_xiroturi-aikaterinari
ξηροτυρη-αικατεριναρη γεωργιου ασημινα,2004-03-07,2007-08-18,συνασπισμος ριζοσπαστικης αριστερας,α' θεσσαλονικης,female,asimina_xiroturi-aikaterinari
ξηροτυρη-αικατεριναρη γεωργιου ασημινα,2012-05-06,2012-05-19,δημοκρατικη αριστερα,α' θεσσαλονικης,female,asimina_xiroturi-aikaterinari
ξηροτυρη-αικατεριναρη γεωργιου ασημινα,2012-06-17,2014-12-31,δημοκρατικη αριστερα,α' θεσσαλονικης,female,asimina_xiroturi-aikaterinari
ξουλιδου ιωαννη σταυρουλα,2012-05-06,2012-05-19,ανεξαρτητοι ελληνες - πανος καμμενος,β' θεσσαλονικης,female,stauroula_xoulidou
ξουλιδου ιωαννη σταυρουλα,2012-06-17,2014-12-31,ανεξαρτητοι ελληνες - πανος καμμενος,β' θεσσαλονικης,female,stauroula_xoulidou
ξουλιδου ιωαννη σταυρουλα,2015-01-25,2015-08-28,ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,β' θεσσαλονικης,female,stauroula_xoulidou
ξυδακης γαλατη νικολαος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων,male,nikolaos_xudakis
ξυδακης γαλατη νικολαος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων,male,nikolaos_xudakis
ξυνιδης γεωργιου σωκρατης,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,ξανθης,male,sokratis_xunidis
οθωνας οθωνα εμμανουηλ,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,ρεθυμνης,male,emmanouil_othonas
οθωνας οθωνα εμμανουηλ,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,ρεθυμνης,male,emmanouil_othonas
οθωνας οθωνα εμμανουηλ,2012-05-06,2012-05-19,πανελληνιο σοσιαλιστικο κινημα,ρεθυμνης,male,emmanouil_othonas
οικονομοπουλος παναγιωτη τασος,2023-06-25,2023-11-13,δημοκρατικο πατριωτικο κινημα νικη,α' ανατολικης αττικης,male,tasos_oikonomopoulos
οικονομου αθανασιου βασιλειος,2000-04-09,2000-12-13,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male,basileios_oikonomou
οικονομου αθανασιου βασιλειος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male,basileios_oikonomou
οικονομου αθανασιου βασιλειος,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male,basileios_oikonomou
οικονομου αθανασιου βασιλειος,2012-03-26,2012-04-11,δημοκρατικη αριστερα,αττικης(υπολοιπο),male,basileios_oikonomou
οικονομου αθανασιου βασιλειος,2010-05-06,2012-03-25,ανεξαρτητοι (εκτος κομματος),αττικης(υπολοιπο),male,basileios_oikonomou
οικονομου αθανασιου βασιλειος,2009-10-04,2010-05-05,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male,basileios_oikonomou
οικονομου αθανασιου βασιλειος,2012-05-06,2012-05-19,δημοκρατικη αριστερα,αττικης,male,basileios_oikonomou
οικονομου αθανασιου βασιλειος,2014-06-06,2014-12-31,ανεξαρτητοι (εκτος κομματος),αττικης,male,basileios_oikonomou
οικονομου αθανασιου βασιλειος,2012-06-17,2014-06-05,δημοκρατικη αριστερα,αττικης,male,basileios_oikonomou
οικονομου αθανασιου βασιλειος,2015-01-25,2015-08-28,νεα δημοκρατια,επικρατειας,male,basileios_oikonomou
οικονομου αθανασιου βασιλειος,2015-09-20,2019-06-11,νεα δημοκρατια,επικρατειας,male,basileios_oikonomou
οικονομου αθανασιου βασιλειος,2019-07-07,2023-04-22,νεα δημοκρατια,α' ανατολικης αττικης,male,basileios_oikonomou
οικονομου αθανασιου βασιλειος,2023-05-21,2023-05-29,νεα δημοκρατια,α' ανατολικης αττικης,male,basileios_oikonomou
οικονομου αθανασιου βασιλειος,2023-06-25,2023-11-13,νεα δημοκρατια,α' ανατολικης αττικης,male,basileios_oikonomou
οικονομου γεωργιου θωμαις (τζινα),2023-05-21,2023-05-29,νεα δημοκρατια,ευρυτανιας,female,thomais_oikonomou
οικονομου γεωργιου θωμαις (τζινα),2023-06-25,2023-11-13,νεα δημοκρατια,ευρυτανιας,female,thomais_oikonomou
οικονομου δημητριου ιωαννης,2019-07-07,2023-04-22,νεα δημοκρατια,φθιωτιδας,male,ioannis_oikonomou
οικονομου δημητριου ιωαννης,2023-06-25,2023-11-13,νεα δημοκρατια,φθιωτιδας,male,ioannis_oikonomou
οικονομου σπυριδωνα παντελης,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων,male,pantelis_oikonomou
οικονομου σπυριδωνα παντελης,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων,male,pantelis_oikonomou
οικονομου σωκρατη αθανασιος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,ιωαννινων,male,athanasios_oikonomou
οικονομου χρηστου γεωργιος,2012-05-06,2012-05-19,πανελληνιο σοσιαλιστικο κινημα,τρικαλων,male,georgios_oikonomou
οικονομου χρηστου γεωργιος,2023-05-21,2023-05-29,πασοκ - κινημα αλλαγης,τρικαλων,male,georgios_oikonomou
ορφανος δημητριου γεωργιος,1996-09-22,2000-03-14,νεα δημοκρατια,α' θεσσαλονικης,male,georgios_orfanos
ορφανος δημητριου γεωργιος,2000-04-09,2004-02-11,νεα δημοκρατια,α' θεσσαλονικης,male,georgios_orfanos
ορφανος δημητριου γεωργιος,2004-03-07,2007-08-18,νεα δημοκρατια,α' θεσσαλονικης,male,georgios_orfanos
ορφανος δημητριου γεωργιος,2007-09-16,2009-09-07,νεα δημοκρατια,α' θεσσαλονικης,male,georgios_orfanos
ορφανος δημητριου γεωργιος,2012-05-06,2012-05-19,νεα δημοκρατια,α' θεσσαλονικης,male,georgios_orfanos
ορφανος δημητριου γεωργιος,2012-06-17,2014-12-31,νεα δημοκρατια,α' θεσσαλονικης,male,georgios_orfanos
ορφανος δημητριου νικολαος,2015-01-25,2015-08-28,το ποταμι,β' πειραιως,male,nikolaos_orfanos
ουζουνιδης δημητριου μαρινος,2012-06-17,2014-12-31,ανεξαρτητοι ελληνες - πανος καμμενος,εβρου,male,marinos_ouzounidis
ουζουνιδου χρηστου ευγενια,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,κοζανης,female,eugenia_ouzounidou
ουζουνιδου χρηστου ευγενια,2015-08-21,2015-08-28,λαικη ενοτητα,κοζανης,female,eugenia_ouzounidou
ουζουνιδου χρηστου ευγενια,2015-01-25,2015-08-20,συνασπισμος ριζοσπαστικης αριστερας,κοζανης,female,eugenia_ouzounidou
αποστολατος σπυριδωνα βαιτσης,2007-09-16,2009-09-07,λαικος ορθοδοξος συναγερμος,α' πειραιως,male,baitsis_apostolatos
αποστολατος σπυριδωνα βαιτσης,2009-10-04,2012-04-11,λαικος ορθοδοξος συναγερμος,α' πειραιως,male,baitsis_apostolatos
ουρσουζιδης νικολαου γεωργιος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,ημαθιας,male,georgios_oursouzidis
ουρσουζιδης νικολαου γεωργιος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,ημαθιας,male,georgios_oursouzidis
παγκαλος γεωργιου θεοδωρος,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male,theodoros_pagkalos
παγκαλος γεωργιου θεοδωρος,1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male,theodoros_pagkalos
παγκαλος γεωργιου θεοδωρος,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male,theodoros_pagkalos
παγκαλος γεωργιου θεοδωρος,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male,theodoros_pagkalos
παγκαλος γεωργιου θεοδωρος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male,theodoros_pagkalos
παγκαλος γεωργιου θεοδωρος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male,theodoros_pagkalos
παγκαλος γεωργιου θεοδωρος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male,theodoros_pagkalos
παγκαλος γεωργιου θεοδωρος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male,theodoros_pagkalos
παγκαλος γεωργιου θεοδωρος,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male,theodoros_pagkalos
παγκαλος γεωργιου θεοδωρος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male,theodoros_pagkalos
παλαιοκρασσας δημητριου ιωαννης,1989-01-01,1989-06-02,νεα δημοκρατια,κυκλαδων,male,ioannis_palaiokrassas
παλαιοκρασσας δημητριου ιωαννης,1989-06-18,1989-10-12,νεα δημοκρατια,κυκλαδων,male,ioannis_palaiokrassas
παλαιοκρασσας δημητριου ιωαννης,1989-11-05,1990-03-12,νεα δημοκρατια,κυκλαδων,male,ioannis_palaiokrassas
παλαιοκρασσας δημητριου ιωαννης,2004-03-07,2004-03-26,νεα δημοκρατια,κυκλαδων,male,ioannis_palaiokrassas
παλλης ευστρατιου γεωργιος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,λεσβου,male,georgios_pallis
παναγιωταρος κωνσταντινου ηλιας,2012-05-06,2012-05-19,λαικος συνδεσμος - χρυση αυγη,β' αθηνων,male,ilias_panagiotaros
παναγιωταρος κωνσταντινου ηλιας,2012-06-17,2014-12-31,λαικος συνδεσμος - χρυση αυγη,β' αθηνων,male,ilias_panagiotaros
παναγιωταρος κωνσταντινου ηλιας,2015-01-25,2015-08-28,λαικος συνδεσμος - χρυση αυγη,β' αθηνων,male,ilias_panagiotaros
παναγιωταρος κωνσταντινου ηλιας,2015-09-20,2019-06-11,λαικος συνδεσμος - χρυση αυγη,β' αθηνων,male,ilias_panagiotaros
παναγιωτιδης παυλου χαραλαμπος,2023-05-21,2023-05-29,ελληνικη λυση - κυριακος βελοπουλος,α' θεσσαλονικης,male,xaralampos_panagiotidis
παναγιωτοπουλος αντωνιου ανδρεας,2023-05-21,2023-05-29,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,αχαιας,male,andreas_panagiotopoulos
παναγιωτοπουλος αντωνιου ανδρεας,2023-06-25,2023-11-13,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,αχαιας,male,andreas_panagiotopoulos
παναγιωτοπουλος ιωαννη νικολαος,2007-09-16,2009-09-07,νεα δημοκρατια,καβαλας,male,nikolaos_panagiotopoulos
παναγιωτοπουλος ιωαννη νικολαος,2009-10-04,2012-04-11,νεα δημοκρατια,καβαλας,male,nikolaos_panagiotopoulos
παναγιωτοπουλος ιωαννη νικολαος,2012-05-06,2012-05-19,νεα δημοκρατια,καβαλας,male,nikolaos_panagiotopoulos
παναγιωτοπουλος ιωαννη νικολαος,2012-06-17,2014-12-31,νεα δημοκρατια,καβαλας,male,nikolaos_panagiotopoulos
παναγιωτοπουλος ιωαννη νικολαος,2015-01-25,2015-08-28,νεα δημοκρατια,καβαλας,male,nikolaos_panagiotopoulos
παναγιωτοπουλος ιωαννη νικολαος,2015-09-20,2019-06-11,νεα δημοκρατια,καβαλας,male,nikolaos_panagiotopoulos
παναγιωτοπουλος ιωαννη νικολαος,2019-07-07,2023-04-22,νεα δημοκρατια,καβαλας,male,nikolaos_panagiotopoulos
παναγιωτοπουλος ιωαννη νικολαος,2023-05-21,2023-05-29,νεα δημοκρατια,καβαλας,male,nikolaos_panagiotopoulos
παναγιωτοπουλος ιωαννη νικολαος,2023-06-25,2023-11-13,νεα δημοκρατια,καβαλας,male,nikolaos_panagiotopoulos
παναγιωτοπουλος νικολαου γεωργιος,1989-01-01,1989-06-02,νεα δημοκρατια,καβαλας,male,georgios_panagiotopoulos
παναγιωτοπουλος νικολαου γεωργιος,1989-06-18,1989-10-12,νεα δημοκρατια,καβαλας,male,georgios_panagiotopoulos
παναγιωτοπουλος νικολαου γεωργιος,1989-11-05,1990-03-12,νεα δημοκρατια,καβαλας,male,georgios_panagiotopoulos
παναγιωτοπουλος νικολαου γεωργιος,1993-10-10,1996-08-24,νεα δημοκρατια,καβαλας,male,georgios_panagiotopoulos
παναγιωτοπουλος νικολαου γεωργιος,1996-09-22,2000-03-14,νεα δημοκρατια,καβαλας,male,georgios_panagiotopoulos
παναγιωτοπουλος νικολαου γεωργιος,2000-04-09,2004-02-11,νεα δημοκρατια,καβαλας,male,georgios_panagiotopoulos
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2000-04-09,2004-02-11,νεα δημοκρατια,β' αθηνων,male,panagiotis_panagiotopoulos
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2004-03-07,2007-08-18,νεα δημοκρατια,β' αθηνων,male,panagiotis_panagiotopoulos
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2007-09-16,2009-09-07,νεα δημοκρατια,β' αθηνων,male,panagiotis_panagiotopoulos
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2009-10-04,2012-04-11,νεα δημοκρατια,β' αθηνων,male,panagiotis_panagiotopoulos
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2012-05-06,2012-05-19,νεα δημοκρατια,β' αθηνων,male,panagiotis_panagiotopoulos
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2012-06-17,2014-12-31,νεα δημοκρατια,β' αθηνων,male,panagiotis_panagiotopoulos
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2019-05-06,2019-06-11,νεα δημοκρατια,β' αθηνων,male,panagiotis_panagiotopoulos
αποστολιδης θωμα λουκας,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,βοιωτιας,male,loukas_apostolidis
αποστολιδης θωμα λουκας,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,βοιωτιας,male,loukas_apostolidis
αποστολιδης θωμα λουκας,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,βοιωτιας,male,loukas_apostolidis
αποστολιδης θωμα λουκας,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,βοιωτιας,male,loukas_apostolidis
αποστολιδης θωμα λουκας,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,βοιωτιας,male,loukas_apostolidis
παναγουλης βασιλειου ευσταθιος (σταθης),1989-01-01,1989-06-02,κομμουνιστικο κομμα ελλαδας,β' αθηνων,male,eustathios_panagoulis
παναγουλης βασιλειου ευσταθιος (σταθης),2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων,male,eustathios_panagoulis
παναγουλης βασιλειου ευσταθιος (σταθης),2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων,male,eustathios_panagoulis
παναγουλης βασιλειου ευσταθιος (σταθης),2015-11-19,2019-06-11,ανεξαρτητοι (εκτος κομματος),β' αθηνων,male,eustathios_panagoulis
παναγουλης βασιλειου ευσταθιος (σταθης),2015-09-20,2015-11-18,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων,male,eustathios_panagoulis
παναριτη ιωαννου ελενη (ελενα),2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,επικρατειας,female,eleni_panariti
πανας νικολαου αποστολος,2019-07-07,2023-04-22,κινημα αλλαγης,χαλκιδικης,male,apostolos_panas
πανας νικολαου αποστολος,2023-05-21,2023-05-29,πασοκ - κινημα αλλαγης,χαλκιδικης,male,apostolos_panas
πανας νικολαου αποστολος,2023-06-25,2023-11-13,πασοκ - κινημα αλλαγης,χαλκιδικης,male,apostolos_panas
πανουργιας στυλιανου πανουργιας,1989-01-01,1989-06-02,νεα δημοκρατια,φθιωτιδας,male,panourgias_panourgias
πανουσης αποστολου ιωαννης,2012-05-06,2012-05-19,δημοκρατικη αριστερα,α' αθηνων,male,ioannis_panousis
πανουσης αποστολου ιωαννης,2012-06-17,2014-12-31,δημοκρατικη αριστερα,α' αθηνων,male,ioannis_panousis
παντελακη αντωνιου ελπιδα,2004-03-07,2007-08-18,κομμουνιστικο κομμα ελλαδας,α' πειραιως,female,elpida_pantelaki
παντελακη αντωνιου ελπιδα,2007-09-16,2008-05-23,κομμουνιστικο κομμα ελλαδας,α' πειραιως,female,elpida_pantelaki
παντελακη αντωνιου ελπιδα,2012-05-06,2012-05-19,κομμουνιστικο κομμα ελλαδας,α' πειραιως,female,elpida_pantelaki
παντζας σπυριδωνος-αριστοτελη γεωργιος,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,αττικης,male,georgios_pantzas
παντζας σπυριδωνος-αριστοτελη γεωργιος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,αττικης,male,georgios_pantzas
παντζας σπυριδωνος-αριστοτελη γεωργιος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,αττικης,male,georgios_pantzas
αποστολου δημητριου ευαγγελος,1996-09-22,2000-03-14,συνασπισμος της αριστερας των κινηματων και της οικολογιας,ευβοιας,male,euaggelos_apostolou
αποστολου δημητριου ευαγγελος,2012-05-06,2012-05-19,συνασπισμος ριζοσπαστικης αριστερας,ευβοιας,male,euaggelos_apostolou
αποστολου δημητριου ευαγγελος,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,ευβοιας,male,euaggelos_apostolou
αποστολου δημητριου ευαγγελος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,ευβοιας,male,euaggelos_apostolou
αποστολου δημητριου ευαγγελος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,ευβοιας,male,euaggelos_apostolou
αποστολου δημητριου ευαγγελος,2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,ευβοιας,male,euaggelos_apostolou
παντουλας χρηστου μιχαηλ,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,ιωαννινων,male,mixail_pantoulas
παντουλας χρηστου μιχαηλ,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,ιωαννινων,male,mixail_pantoulas
παντουλας χρηστου μιχαηλ,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,ιωαννινων,male,mixail_pantoulas
παπαγεωργιου ανδρεα αθανασιος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,πιεριας,male,athanasios_papageorgiou
παπαγεωργιου ανδρεα αθανασιος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,πιεριας,male,athanasios_papageorgiou
παπαγεωργιου δημητριου σωτηριος,2023-05-21,2023-05-29,πασοκ - κινημα αλλαγης,καρδιτσας,male,sotirios_papageorgiou
παπαγεωργιου ιωαννη γεωργιος,1989-06-18,1989-10-12,νεα δημοκρατια,αρτας,male,georgios_papageorgiou
παπαγεωργιου ιωαννη γεωργιος,1989-11-05,1990-03-12,νεα δημοκρατια,αρτας,male,georgios_papageorgiou
παπαγεωργιου ιωαννη γεωργιος,1990-04-08,1993-09-11,νεα δημοκρατια,αρτας,male,georgios_papageorgiou
παπαγεωργιου ιωαννη γεωργιος,2004-03-07,2007-08-18,νεα δημοκρατια,αρτας,male,georgios_papageorgiou
παπαγεωργιου ιωαννη γεωργιος,2007-09-16,2009-09-07,νεα δημοκρατια,αρτας,male,georgios_papageorgiou
παπαγεωργιου ιωαννη γεωργιος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,ευβοιας,male,georgios_papageorgiou
παπαγεωργιου ιωαννη γεωργιος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,ευβοιας,male,georgios_papageorgiou
παπαγεωργιου ιωαννη γεωργιος,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,ευβοιας,male,georgios_papageorgiou
παπαγεωργοπουλος νικολαου ελευθεριος,1989-06-18,1989-10-12,νεα δημοκρατια,ευβοιας,male,eleutherios_papageorgopoulos
παπαγεωργοπουλος νικολαου ελευθεριος,1989-11-05,1990-03-12,νεα δημοκρατια,ευβοιας,male,eleutherios_papageorgopoulos
παπαγεωργοπουλος νικολαου ελευθεριος,1990-04-08,1993-09-11,νεα δημοκρατια,ευβοιας,male,eleutherios_papageorgopoulos
παπαγεωργοπουλος νικολαου ελευθεριος,1993-10-10,1996-08-24,νεα δημοκρατια,ευβοιας,male,eleutherios_papageorgopoulos
παπαγεωργοπουλος νικολαου ελευθεριος,1996-09-22,2000-03-14,νεα δημοκρατια,ευβοιας,male,eleutherios_papageorgopoulos
παπαγεωργοπουλος νικολαου ελευθεριος,2000-04-09,2004-02-11,νεα δημοκρατια,ευβοιας,male,eleutherios_papageorgopoulos
