member_name,member_start_date,member_end_date,political_party,administrative_region,gender,name
τατουλης παναγιωτη πετρος,1993-10-10,1996-08-24,νεα δημοκρατια,αρκαδιας,male,petros_tatoulis
τατουλης παναγιωτη πετρος,1996-09-22,2000-03-14,νεα δημοκρατια,αρκαδιας,male,petros_tatoulis
τατουλης παναγιωτη πετρος,2000-04-09,2004-02-11,νεα δημοκρατια,αρκαδιας,male,petros_tatoulis
τατουλης παναγιωτη πετρος,2004-03-07,2007-08-18,νεα δημοκρατια,αρκαδιας,male,petros_tatoulis
τατουλης παναγιωτη πετρος,2007-09-16,2009-09-07,νεα δημοκρατια,αρκαδιας,male,petros_tatoulis
τατσοπουλος ευαγγελου πετρος-γεωργιος,2012-05-06,2012-05-19,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων,male,petros-georgios_tatsopoulos
τατσοπουλος ευαγγελου πετρος-γεωργιος,2014-01-24,2014-12-31,ανεξαρτητοι δημοκρατικοι βουλευτες,β' αθηνων,male,petros-georgios_tatsopoulos
τατσοπουλος ευαγγελου πετρος-γεωργιος,2014-01-10,2014-01-23,ανεξαρτητοι (εκτος κομματος),β' αθηνων,male,petros-georgios_tatsopoulos
τατσοπουλος ευαγγελου πετρος-γεωργιος,2012-06-17,2014-01-09,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων,male,petros-georgios_tatsopoulos
ταχιαου γεωργιου χριστινα,2015-01-25,2015-08-28,το ποταμι,α' θεσσαλονικης,female,xristina_taxiaou
βαγιατης αθανασιου ιωαννης,1989-01-01,1989-06-02,νεα δημοκρατια,κοζανης,male,ioannis_bagiatis
τεκτονιδου αναστασιου κυριακη (βουλα),2012-02-12,2012-04-11,ανεξαρτητοι (εκτος κομματος),α' θεσσαλονικης,female,kuriaki_tektonidou
τεκτονιδου αναστασιου κυριακη (βουλα),2011-10-18,2012-02-11,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης,female,kuriaki_tektonidou
τεκτονιδου αναστασιου κυριακη (βουλα),2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,α' θεσσαλονικης,female,kuriaki_tektonidou
τελιγιοριδου ιωαννη ολυμπια,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,καστοριας,female,olumpia_teligioridou
τελιγιοριδου ιωαννη ολυμπια,2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,καστοριας,female,olumpia_teligioridou
τζαβαρας γεωργιου κωνσταντινος,2007-09-16,2009-09-07,νεα δημοκρατια,ηλειας,male,konstantinos_tzabaras
τζαβαρας γεωργιου κωνσταντινος,2009-10-04,2012-04-11,νεα δημοκρατια,ηλειας,male,konstantinos_tzabaras
τζαβαρας γεωργιου κωνσταντινος,2012-05-06,2012-05-19,νεα δημοκρατια,ηλειας,male,konstantinos_tzabaras
τζαβαρας γεωργιου κωνσταντινος,2012-06-17,2014-12-31,νεα δημοκρατια,ηλειας,male,konstantinos_tzabaras
τζαβαρας γεωργιου κωνσταντινος,2015-01-25,2015-08-28,νεα δημοκρατια,ηλειας,male,konstantinos_tzabaras
τζαβαρας γεωργιου κωνσταντινος,2015-09-20,2019-06-11,νεα δημοκρατια,ηλειας,male,konstantinos_tzabaras
τζαβαρας γεωργιου κωνσταντινος,2019-07-07,2023-04-22,νεα δημοκρατια,ηλειας,male,konstantinos_tzabaras
τζακρη εμμανουηλ θεοδωρα,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,πελλης,female,theodora_tzakri
τζακρη εμμανουηλ θεοδωρα,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,πελλης,female,theodora_tzakri
τζακρη εμμανουηλ θεοδωρα,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,πελλης,female,theodora_tzakri
τζακρη εμμανουηλ θεοδωρα,2012-05-06,2012-05-19,πανελληνιο σοσιαλιστικο κινημα,πελλης,female,theodora_tzakri
τζακρη εμμανουηλ θεοδωρα,2014-04-03,2014-12-31,ανεξαρτητοι δημοκρατικοι βουλευτες,πελλης,female,theodora_tzakri
τζακρη εμμανουηλ θεοδωρα,2013-11-11,2014-04-02,ανεξαρτητοι (εκτος κομματος),πελλης,female,theodora_tzakri
τζακρη εμμανουηλ θεοδωρα,2012-06-17,2013-11-10,πανελληνιο σοσιαλιστικο κινημα,πελλης,female,theodora_tzakri
τζακρη εμμανουηλ θεοδωρα,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,πελλης,female,theodora_tzakri
τζακρη εμμανουηλ θεοδωρα,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,πελλης,female,theodora_tzakri
