member_name,role,role_start_date,role_end_date,gender,name
θεοδωρος λιβανιος,υφυπουργος εσωτερικων,09/07/2019,05/01/2021,male,theodoros_libanios
θεοδωρος λιβανιος,υφυπουργος στον πρωθυπουργο,05/01/2021,13/08/2021,male,theodoros_libanios
θεοδωρος ντεγιαννης,υπουργος εθνικης αμυνας,12/10/1989,23/11/1989,male,theodoros_ntegiannis
θεοδωρος ντεγιαννης,υπουργος εθνικης αμυνας,13/02/1990,11/04/1990,male,theodoros_ntegiannis
θεοδωρος παγκαλος,υπουργος μεταφορων και επικοινωνιων,08/07/1994,15/09/1994,male,theodoros_pagkalos
θεοδωρος παγκαλος,αναπληρωτης υπουργος εξωτερικων,13/10/1993,08/07/1994,male,theodoros_pagkalos
θεοδωρος παγκαλος,υπουργος εξωτερικων,22/01/1996,25/09/1996,male,theodoros_pagkalos
θεοδωρος παγκαλος,υπουργος εξωτερικων,25/09/1996,19/02/1999,male,theodoros_pagkalos
θεοδωρος παγκαλος,υπουργος πολιτισμου,13/04/2000,20/11/2000,male,theodoros_pagkalos
θεοδωρος παγκαλος,αντιπροεδρος της κυβερνησης,07/10/2009,11/11/2011,male,theodoros_pagkalos
θεοδωρος παγκαλος,αντιπροεδρος της κυβερνησης,11/11/2011,17/05/2012,male,theodoros_pagkalos
θεοδωρος παπαθεοδωρου,υφυπουργος παιδειας θρησκευματων πολιτισμου και αθλητισμου,21/06/2012,25/06/2013,male,theodoros_papatheodorou
θεοδωρος πελαγιδης,υπουργος οικονομικων,26/05/2023,07/06/2023,male,theodoros_pelagidis
θεοδωρος ρουσοπουλος,υπουργος επικρατειας,10/03/2004,19/09/2007,male,theodoros_rousopoulos
θεοδωρος ρουσοπουλος,υπουργος επικρατειας,19/09/2007,24/10/2008,male,theodoros_rousopoulos
θεοδωρος σκυλακακης,αναπληρωτης υπουργος οικονομικων,05/08/2020,26/05/2023,male,theodoros_skulakakis
θεοδωρος σκυλακακης,υφυπουργος οικονομικων,09/07/2019,05/08/2020,male,theodoros_skulakakis
θεοδωρος σταθης,υπουργος γεωργιας,15/09/1995,22/01/1996,male,theodoros_stathis
θεοφιλος λεονταριδης,αναπληρωτης υπουργος αγροτικης αναπτυξης και τροφιμων,31/03/2014,10/06/2014,male,theofilos_leontaridis
θεοφιλος λεονταριδης,αναπληρωτης υπουργος εσωτερικων,10/06/2014,27/01/2015,male,theofilos_leontaridis
θεοχαρης θεοχαρης,υπουργος τουρισμου,09/07/2019,31/08/2021,male,theoxaris_theoxaris
θεοχαρης παπαμαργαρης,υπουργος εργασιας,07/07/1989,12/10/1989,male,theoxaris_papamargaris
θωμας κουρτης,υφυπουργος εθνικης παιδειας και θρησκευματων,03/12/1992,13/10/1993,male,thomas_kourtis
ιωαννα δρεττα,υπουργος τουρισμου,26/05/2023,07/06/2023,female,ioanna_dretta
ιωαννης αμανατιδης,υφυπουργος εξωτερικων,18/07/2015,27/08/2015,male,ioannis_amanatidis
ιωαννης αμανατιδης,υφυπουργος εξωτερικων,23/09/2015,29/08/2018,male,ioannis_amanatidis
ιωαννης ανδριανος,υφυπουργος πολιτισμου και αθλητισμου,25/06/2013,27/01/2015,male,ioannis_andrianos
ιωαννης ανθοπουλος,υφυπουργος εθνικης παιδειας και θρησκευματων,13/10/1993,08/07/1994,male,ioannis_anthopoulos
ιωαννης ανθοπουλος,υφυπουργος εθνικης οικονομιας,08/07/1994,22/01/1996,male,ioannis_anthopoulos
ιωαννης ανθοπουλος,υφυπουργος εθνικης παιδειας και θρησκευματων,25/09/1996,13/04/2000,male,ioannis_anthopoulos
ιωαννης βαληνακης,υφυπουργος εξωτερικων,10/03/2004,19/09/2007,male,ioannis_balinakis
ιωαννης βαληνακης,υφυπουργος εξωτερικων,19/09/2007,07/10/2009,male,ioannis_balinakis
ιωαννης βαρβιτσιωτης,υπουργος εθνικης αμυνας,02/07/1989,12/10/1989,male,ioannis_barbitsiotis
ιωαννης βαρβιτσιωτης,υπουργος εμποριου,23/11/1989,13/02/1990,male,ioannis_barbitsiotis
ιωαννης βαρβιτσιωτης,υπουργος εθνικης αμυνας,11/04/1990,13/10/1993,male,ioannis_barbitsiotis
ιωαννης βαρβιτσιωτης,υπουργος δικαιοσυνης,07/08/1992,03/12/1992,male,ioannis_barbitsiotis
ιωαννης βασιλειαδης,αναπληρωτης υπουργος εθνικης αμυνας,02/07/1989,12/10/1989,male,ioannis_basileiadis
ιωαννης βασιλειαδης,υπουργος δημοσιας ταξης,11/04/1990,08/08/1991,male,ioannis_basileiadis
ιωαννης βρουτσης,υπουργος εργασιας κοινωνικης ασφαλισης και προνοιας,21/06/2012,27/01/2015,male,ioannis_broutsis
ιωαννης βρουτσης,υπουργος εργασιας και κοινωνικων υποθεσεων,09/07/2019,05/01/2021,male,ioannis_broutsis
ιωαννης γεωργακης,υπουργος εσωτερικων,14/09/1993,13/10/1993,male,ioannis_georgakis
ιωαννης γιαγκος,υπουργος εθνικης αμυνας,28/08/2015,21/09/2015,male,ioannis_giagkos
ιωαννης γκολιας,υπουργος παραγωγικης ανασυγκροτησης περιβαλλοντος και ενεργειας,28/08/2015,21/09/2015,male,ioannis_gkolias
ιωαννης γκολιας,υπουργος υποδομων και μεταφορων,26/05/2023,07/06/2023,male,ioannis_gkolias
ιωαννης γριβας,πρωθυπουργος,12/10/1989,23/11/1989,male,ioannis_gribas
ιωαννης δεληγιαννης,υπουργος μακεδονιας-θρακης,12/10/1989,23/11/1989,male,ioannis_deligiannis
ιωαννης δεληγιαννης,υπουργος μακεδονιας-θρακης,23/11/1989,11/04/1990,male,ioannis_deligiannis
