member_name,role,role_start_date,role_end_date,gender,name
αγγελικη γκερεκου,υφυπουργος πολιτισμου και τουρισμου,07/10/2009,21/05/2010,female,aggeliki_gkerekou
αγγελικη γκερεκου,υφυπουργος πολιτισμου και αθλητισμου,10/06/2014,27/01/2015,female,aggeliki_gkerekou
αγγελικη λαιου,υφυπουργος εξωτερικων,13/04/2000,20/11/2000,female,aggeliki_laiou
αγγελικη-ευφροσυνη κιαου-δημακου,υπουργος παιδειας δια βιου μαθησης και θρησκευματων,17/05/2012,21/06/2012,female,aggeliki-eufrosuni_kiaou-dimakou
αγγελικη-ευφροσυνη κιαου-δημακου,υπουργος πολιτισμου παιδειας και θρησκευματων,28/08/2015,21/09/2015,female,aggeliki-eufrosuni_kiaou-dimakou
αγγελος μπρατακος,υφυπουργος εσωτερικων,03/12/1992,13/10/1993,male,aggelos_mpratakos
αγγελος τολκας,υφυπουργος στον πρωθυπουργο,03/08/2011,11/11/2011,male,aggelos_tolkas
αγγελος τολκας,υφυπουργος μεταναστευτικης πολιτικης,15/02/2019,09/07/2019,male,aggelos_tolkas
αδαμ ρεγκουζας,υφυπουργος οικονομιας και οικονομικων,10/03/2004,10/10/2005,male,adam_regkouzas
αθανασια αναγνωστοπουλου,αναπληρωτης υπουργος εξωτερικων,18/07/2015,27/08/2015,female,athanasia_anagnostopoulou
αθανασια αναγνωστοπουλου,αναπληρωτης υπουργος παιδειας ερευνας και θρησκευματων,23/09/2015,05/11/2016,female,athanasia_anagnostopoulou
αθανασια αναγνωστοπουλου,αναπληρωτης υπουργος εξωτερικων,15/02/2019,09/07/2019,female,athanasia_anagnostopoulou
αθανασιος αλευρας,υφυπουργος περιβαλλοντος χωροταξιας και δημοσιων εργων,13/04/2000,24/10/2001,male,athanasios_aleuras
αθανασιος αλευρας,υφυπουργος πολιτισμου,24/10/2001,10/03/2004,male,athanasios_aleuras
αθανασιος γιαννοπουλος,υφυπουργος υγειας και κοινωνικης αλληλεγγυης,10/03/2004,19/09/2007,male,athanasios_giannopoulos
αθανασιος δαβακης,υφυπουργος εθνικης αμυνας,25/06/2013,10/06/2014,male,athanasios_dabakis
αθανασιος ηλιοπουλος,υφυπουργος εργασιας κοινωνικης ασφαλισης και κοινωνικης αλληλεγγυης,28/02/2018,15/02/2019,male,athanasios_iliopoulos
αθανασιος θεοχαροπουλος,υπουργος τουρισμου,04/05/2019,09/07/2019,male,athanasios_theoxaropoulos
αθανασιος κανελλοπουλος,υπουργος προεδριας της κυβερνησης,02/07/1989,12/10/1989,male,athanasios_kanellopoulos
αθανασιος κανελλοπουλος,υπουργος επικρατειας,08/08/1991,21/02/1992,male,athanasios_kanellopoulos
αθανασιος κανελλοπουλος,αντιπροεδρος της κυβερνησης,08/08/1991,08/08/1991,male,athanasios_kanellopoulos
αθανασιος κανελλοπουλος,υπουργος δικαιοσυνης,11/04/1990,08/08/1991,male,athanasios_kanellopoulos
αθανασιος μικρουτσικος,αναπληρωτης υπουργος πολιτισμου,13/10/1993,16/03/1994,male,athanasios_mikroutsikos
αθανασιος μικρουτσικος,υπουργος πολιτισμου,16/03/1994,22/01/1996,male,athanasios_mikroutsikos
αθανασιος μπουρας,υφυπουργος οικονομιας και οικονομικων,08/01/2009,07/10/2009,male,athanasios_mpouras
αθανασιος μωραιτης,υφυπουργος αναπτυξης ανταγωνιστικοτητας και ναυτιλιας,27/06/2011,11/11/2011,male,athanasios_moraitis
αθανασιος μωραιτης,υφυπουργος περιβαλλοντος ενεργειας και κλιματικης αλλαγης,07/10/2009,17/06/2011,male,athanasios_moraitis
αθανασιος μωραιτης,υφυπουργος αναπτυξης ανταγωνιστικοτητας και ναυτιλιας,11/11/2011,17/05/2012,male,athanasios_moraitis
αθανασιος μωραιτης,υφυπουργος υποδομων και μεταφορων,15/02/2019,09/07/2019,male,athanasios_moraitis
αθανασιος νακος,υφυπουργος εσωτερικων δημοσιας διοικησης και αποκεντρωσης,10/03/2004,19/09/2007,male,athanasios_nakos
αθανασιος νακος,υφυπουργος εσωτερικων,19/09/2007,07/10/2009,male,athanasios_nakos
αθανασιος ξαρχας,υπουργος εμποριου,11/04/1990,08/08/1991,male,athanasios_xarxas
αθανασιος πλευρης,υπουργος υγειας,31/08/2021,26/05/2023,male,athanasios_pleuris
αθανασιος σκορδας,υφυπουργος αναπτυξης ανταγωνιστικοτητας υποδομων μεταφορων και δικτυων,21/06/2012,25/06/2013,male,athanasios_skordas
αθανασιος σκορδας,υφυπουργος αναπτυξης και ανταγωνιστικοτητας,25/06/2013,10/06/2014,male,athanasios_skordas
αθανασιος τσαυταρης,υπουργος αγροτικης αναπτυξης και τροφιμων,21/06/2012,10/06/2014,male,athanasios_tsautaris
αθανασιος τσουρας,υφυπουργος μεταφορων και επικοινωνιων,13/10/1993,15/09/1994,male,athanasios_tsouras
αθανασιος τσουρας,υπουργος μεταφορων και επικοινωνιων,15/09/1994,15/09/1995,male,athanasios_tsouras
αικατερινη μπατζελη,υπουργος αγροτικης αναπτυξης και τροφιμων,07/10/2009,07/09/2010,female,aikaterini_mpatzeli
αικατερινη νοτοπουλου,υφυπουργος εσωτερικων,29/08/2018,15/02/2019,female,aikaterini_notopoulou
αικατερινη παπακωστα-σιδηροπουλου,υφυπουργος υγειας,10/06/2014,27/01/2015,female,aikaterini_papakosta-sidiropoulou
αικατερινη παπακωστα-σιδηροπουλου,υφυπουργος προστασιας του πολιτη,29/08/2018,09/07/2019,female,aikaterini_papakosta-sidiropoulou
αικατερινη παπανατσιου,υφυπουργος οικονομικων,05/11/2016,09/07/2019,female,aikaterini_papanatsiou
αλεξανδρος ακριβακης,υφυπουργος γεωργιας,15/09/1995,22/01/1996,male,alexandros_akribakis
αλεξανδρος ακριβακης,υπουργος επικρατειας,07/07/2003,10/03/2004,male,alexandros_akribakis
αλεξανδρος βουλγαρης,υφυπουργος μεταφορων και επικοινωνιων,13/04/2000,24/10/2001,male,alexandros_boulgaris
αλεξανδρος δαμιανιδης,υφυπουργος γεωργιας,15/09/1995,22/01/1996,male,alexandros_damianidis
αλεξανδρος δερμεντζοπουλος,υφυπουργος παιδειας και θρησκευματων,10/06/2014,27/01/2015,male,alexandros_dermentzopoulos
αλεξανδρος καλαφατης,υφυπουργος αναπτυξης,13/04/2000,10/03/2004,male,alexandros_kalafatis
αλεξανδρος κοντος,υφυπουργος αγροτικης αναπτυξης και τροφιμων,10/03/2004,19/09/2007,male,alexandros_kontos
αλεξανδρος κοντος,υπουργος αγροτικης αναπτυξης και τροφιμων,19/09/2007,07/01/2009,male,alexandros_kontos
αλεξανδρος μπαλτας,υφυπουργος εμποριου,13/10/1993,08/07/1994,male,alexandros_mpaltas
αλεξανδρος μπαλτας,υφυπουργος γεωργιας,22/01/1996,25/09/1996,male,alexandros_mpaltas
αλεξανδρος μπαλτας,υφυπουργος εθνικης οικονομιας,25/09/1996,23/06/1999,male,alexandros_mpaltas
αλεξανδρος παπαδογγονας,υπουργος εμπορικης ναυτιλιας,03/12/1992,13/10/1993,male,alexandros_papadoggonas
αλεξανδρος παπαδογγονας,αναπληρωτης υπουργος εθνικης αμυνας,11/04/1990,08/08/1991,male,alexandros_papadoggonas
αλεξανδρος παπαδοπουλος,υπουργος οικονομικων,25/02/1994,22/01/1996,male,alexandros_papadopoulos
αλεξανδρος παπαδοπουλος,υφυπουργος οικονομικων,13/10/1993,25/02/1994,male,alexandros_papadopoulos
αλεξανδρος παπαδοπουλος,υπουργος οικονομικων,22/01/1996,25/09/1996,male,alexandros_papadopoulos
αλεξανδρος παπαδοπουλος,υπουργος εσωτερικων δημοσιας διοικησης και αποκεντρωσης,25/09/1996,19/02/1999,male,alexandros_papadopoulos
αλεξανδρος παπαδοπουλος,υπουργος υγειας και προνοιας,13/04/2000,13/06/2002,male,alexandros_papadopoulos
αλεξανδρος φλαμπουραρης,υπουργος επικρατειας,27/01/2015,27/08/2015,male,alexandros_flampouraris
αλεξανδρος φλαμπουραρης,υπουργος επικρατειας,23/09/2015,09/07/2019,male,alexandros_flampouraris
αλεξανδρος χαριτσης,υφυπουργος οικονομιας αναπτυξης και τουρισμου,23/09/2015,05/11/2016,male,alexandros_xaritsis
αλεξανδρος χαριτσης,αναπληρωτης υπουργος οικονομιας και αναπτυξης,05/11/2016,29/08/2018,male,alexandros_xaritsis
αλεξανδρος χαριτσης,υπουργος εσωτερικων,29/08/2018,13/06/2019,male,alexandros_xaritsis
αλεξιος τσιπρας,πρωθυπουργος,26/01/2015,27/08/2015,male,alexios_tsipras
αλεξιος τσιπρας,πρωθυπουργος,21/09/2015,08/07/2019,male,alexios_tsipras
αλεξιος τσιπρας,υπουργος εξωτερικων,20/10/2018,15/02/2019,male,alexios_tsipras
αλκηστις αττικιουζελ (πρωτοψαλτη),αναπληρωτης υπουργος οικονομιας υποδομων ναυτιλιας και τουρισμου,28/08/2015,21/09/2015,female,alkistis_attikiouzel
αλκιβιαδης στεφανης,υφυπουργος εθνικης αμυνας,09/07/2019,31/08/2021,male,alkibiadis_stefanis
αλκιβιαδης στεφανης,υπουργος εθνικης αμυνας,26/05/2023,07/06/2023,male,alkibiadis_stefanis
αμαλια-μαρια μερκουρη (μελινα),υπουργος πολιτισμου,13/10/1993,06/03/1994,female,amalia-maria_merkouri
αναργυρος φατουρου,υπουργος δικαιοσυνης,30/08/1996,25/09/1996,male,anarguros_fatourou
αναργυρος φατουρου,υπουργος τυπου και μεσων μαζικης ενημερωσης,20/03/2000,13/04/2000,male,anarguros_fatourou
αναστασια κοτανιδου,υπουργος υγειας,26/05/2023,07/06/2023,female,anastasia_kotanidou
αναστασια χριστοδουλοπουλου,αναπληρωτης υπουργος εσωτερικων και διοικητικης ανασυγκροτησης,21/03/2015,27/08/2015,female,anastasia_xristodoulopoulou
αναστασιος γιαννιτσης,υπουργος εργασιας και κοινωνικων ασφαλισεων,13/04/2000,24/10/2001,male,anastasios_giannitsis
αναστασιος γιαννιτσης,υπουργος εξωτερικων,13/02/2004,10/03/2004,male,anastasios_giannitsis
αναστασιος γιαννιτσης,αναπληρωτης υπουργος εξωτερικων,24/10/2001,13/02/2004,male,anastasios_giannitsis
αναστασιος γιαννιτσης,υπουργος εσωτερικων,11/11/2011,17/05/2012,male,anastasios_giannitsis
αναστασιος κουρακης,αναπληρωτης υπουργος πολιτισμου παιδειας και θρησκευματων,27/01/2015,27/08/2015,male,anastasios_kourakis
αναστασιος λιασκος,υφυπουργος τουρισμου,18/03/2004,15/02/2006,male,anastasios_liaskos
αναστασιος μαντελης,υπουργος μεταφορων και επικοινωνιων,02/09/1997,13/04/2000,male,anastasios_mantelis
αναστασιος μαντελης,υφυπουργος εσωτερικων δημοσιας διοικησης και αποκεντρωσης,25/09/1996,02/09/1997,male,anastasios_mantelis
αναστασιος νεραντζης,υφυπουργος μεταφορων και επικοινωνιων,10/03/2004,15/02/2006,male,anastasios_nerantzis
αναστασιος νεραντζης,υφυπουργος αναπτυξης,15/02/2006,19/09/2007,male,anastasios_nerantzis
αναστασιος παπαληγουρας,υπουργος δικαιοσυνης,10/03/2004,19/09/2007,male,anastasios_papaligouras
αναστασιος παπαληγουρας,υπουργος εμπορικης ναυτιλιας αιγαιου και νησιωτικης πολιτικης,13/09/2008,07/10/2009,male,anastasios_papaligouras
αναστασιος πεπονης,υπουργος βιομηχανιας ενεργειας και τεχνολογιας,23/11/1989,13/02/1990,male,anastasios_peponis
αναστασιος πεπονης,υπουργος προεδριας της κυβερνησης,13/10/1993,28/12/1994,male,anastasios_peponis
αναστασιος πεπονης,υπουργος βιομηχανιας ενεργειας και τεχνολογιας,15/09/1995,22/01/1996,male,anastasios_peponis
αναστασιος πεπονης,υπουργος δικαιοσυνης,10/02/1995,15/09/1995,male,anastasios_peponis
αναστασιος πεπονης,υπουργος υγειας και προνοιας,22/01/1996,25/09/1996,male,anastasios_peponis
αναστασιος πετροπουλος,υφυπουργος εργασιας κοινωνικης ασφαλισης και κοινωνικης αλληλεγγυης,23/09/2015,09/07/2019,male,anastasios_petropoulos
αναστασιος σπηλιοπουλος,υφυπουργος εθνικης παιδειας και θρησκευματων,03/12/1992,13/10/1993,male,anastasios_spiliopoulos
ανδρεας ανδριανοπουλος,υπουργος εμποριου,02/07/1989,12/10/1989,male,andreas_andrianopoulos
ανδρεας ανδριανοπουλος,υπουργος επικρατειας,07/08/1992,11/05/1993,male,andreas_andrianopoulos
ανδρεας ανδριανοπουλος,υπουργος βιομηχανιας ενεργειας και τεχνολογιας,08/08/1991,07/08/1992,male,andreas_andrianopoulos
ανδρεας ανδριανοπουλος,υπουργος εμποριου,08/08/1991,07/08/1992,male,andreas_andrianopoulos
ανδρεας καραγκουνης,υφυπουργος γεωργιας,03/12/1992,13/10/1993,male,andreas_karagkounis
ανδρεας κατσανιωτης,υφυπουργος εξωτερικων,31/08/2021,26/05/2023,male,andreas_katsaniotis
ανδρεας λοβερδος,υφυπουργος εξωτερικων,23/01/2002,10/03/2004,male,andreas_loberdos
ανδρεας λοβερδος,υπουργος υγειας και κοινωνικης αλληλεγγυης,07/09/2010,11/11/2011,male,andreas_loberdos
ανδρεας λοβερδος,υπουργος εργασιας και κοινωνικης ασφαλισης,07/10/2009,07/09/2010,male,andreas_loberdos
ανδρεας λοβερδος,υπουργος υγειας και κοινωνικης αλληλεγγυης,11/11/2011,17/05/2012,male,andreas_loberdos
ανδρεας λοβερδος,υπουργος παιδειας και θρησκευματων,10/06/2014,27/01/2015,male,andreas_loberdos
ανδρεας λυκουρεντζος,υφυπουργος εθνικης παιδειας και θρησκευματων,19/09/2007,07/10/2009,male,andreas_lukourentzos
ανδρεας λυκουρεντζος,υπουργος υγειας,21/06/2012,25/06/2013,male,andreas_lukourentzos
ανδρεας ξανθος,αναπληρωτης υπουργος υγειας και κοινωνικων ασφαλισεων,27/01/2015,27/08/2015,male,andreas_xanthos
ανδρεας ξανθος,υπουργος υγειας,23/09/2015,09/07/2019,male,andreas_xanthos
ανδρεας παπανδρεου,πρωθυπουργος,13/10/1993,17/01/1996,male,andreas_papandreou
ανδρεας φουρας,υφυπουργος πολιτισμου,22/01/1996,25/09/1996,male,andreas_fouras
ανδρεας φουρας,υφυπουργος πολιτισμου,25/09/1996,13/04/2000,male,andreas_fouras
αννα διαμαντοπουλου,υφυπουργος αναπτυξης,25/09/1996,23/06/1999,female,anna_diamantopoulou
αννα διαμαντοπουλου,υπουργος παιδειας δια βιου μαθησης και θρησκευματων,07/10/2009,11/11/2011,female,anna_diamantopoulou
αννα διαμαντοπουλου,υπουργος αναπτυξης ανταγωνιστικοτητας και ναυτιλιας,07/03/2012,17/05/2012,female,anna_diamantopoulou
αννα διαμαντοπουλου,υπουργος παιδειας δια βιου μαθησης και θρησκευματων,11/11/2011,07/03/2012,female,anna_diamantopoulou
αννα νταλαρα,υφυπουργος εργασιας και κοινωνικης ασφαλισης,07/09/2010,17/06/2011,female,anna_ntalara
αννα ψαρουδα-μπενακη,αναπληρωτης υπουργος εθνικης παιδειας και θρησκευματων,02/07/1989,12/10/1989,female,anna_psarouda-mpenaki
αννα ψαρουδα-μπενακη,υπουργος πολιτισμου,02/07/1989,07/07/1989,female,anna_psarouda-mpenaki
αννα ψαρουδα-μπενακη,αναπληρωτης υπουργος πολιτισμου,11/04/1990,08/08/1991,female,anna_psarouda-mpenaki
αννα ψαρουδα-μπενακη,υπουργος πολιτισμου,08/08/1991,03/12/1992,female,anna_psarouda-mpenaki
αννα ψαρουδα-μπενακη,υπουργος δικαιοσυνης,03/12/1992,14/09/1993,female,anna_psarouda-mpenaki
αντωνιος αργυρος,υπουργος επικρατειας,17/05/2012,21/06/2012,male,antonios_arguros
αντωνιος διαματαρης,υφυπουργος εξωτερικων,09/07/2019,09/12/2019,male,antonios_diamataris
αντωνιος κοτσακας,υπουργος αιγαιου,08/07/1994,22/01/1996,male,antonios_kotsakas
αντωνιος κοτσακας,υφυπουργος εργασιας,13/10/1993,08/07/1994,male,antonios_kotsakas
αντωνιος κοτσακας,υπουργος αιγαιου,22/01/1996,25/09/1996,male,antonios_kotsakas
αντωνιος λιβανης,υπουργος επικρατειας,15/09/1995,22/01/1996,male,antonios_libanis
αντωνιος λιβανης,υφυπουργος στον πρωθυπουργο,13/10/1993,15/09/1995,male,antonios_libanis
αντωνιος μακρυδημητρης,αναπληρωτης υπουργος εσωτερικων και διοικητικης ανασυγκροτησης,28/08/2015,21/09/2015,male,antonios_makrudimitris
αντωνιος μανιτακης,υπουργος εσωτερικων,17/05/2012,21/06/2012,male,antonios_manitakis
αντωνιος μανιτακης,υπουργος διοικητικης μεταρρυθμισης και ηλεκτρονικης διακυβερνησης,21/06/2012,25/06/2013,male,antonios_manitakis
αντωνιος μανιτακης,υπουργος εσωτερικων και διοικητικης ανασυγκροτησης,28/08/2015,21/09/2015,male,antonios_manitakis
αντωνιος μπεζας,υφυπουργος οικονομιας και οικονομικων,10/10/2005,19/09/2007,male,antonios_mpezas
αντωνιος μπεζας,υφυπουργος οικονομιας και οικονομικων,19/09/2007,07/10/2009,male,antonios_mpezas
αντωνιος μπεζας,υφυπουργος υγειας,25/06/2013,10/06/2014,male,antonios_mpezas
αντωνιος μπεζας,υφυπουργος εργασιας κοινωνικης ασφαλισης και προνοιας,10/06/2014,27/01/2015,male,antonios_mpezas
αντωνιος ρουπακιωτης,υπουργος εργασιας και κοινωνικης ασφαλισης,17/05/2012,21/06/2012,male,antonios_roupakiotis
αντωνιος ρουπακιωτης,υπουργος δικαιοσυνης διαφανειας και ανθρωπινων δικαιωματων,21/06/2012,25/06/2013,male,antonios_roupakiotis
αντωνιος ρουπακιωτης,υπουργος εσωτερικων,13/06/2019,09/07/2019,male,antonios_roupakiotis
αντωνιος σαμαρας,υπουργος οικονομικων,02/07/1989,12/10/1989,male,antonios_samaras
αντωνιος σαμαρας,υπουργος εξωτερικων,23/11/1989,16/02/1990,male,antonios_samaras
αντωνιος σαμαρας,υπουργος εξωτερικων,11/04/1990,14/04/1992,male,antonios_samaras
αντωνιος σαμαρας,υπουργος πολιτισμου,08/01/2009,07/10/2009,male,antonios_samaras
αντωνιος σαμαρας,πρωθυπουργος,20/06/2012,26/01/2015,male,antonios_samaras
αντωνιος φουσσας,υπουργος αιγαιου,12/10/1989,23/11/1989,male,antonios_foussas
αντωνιος φουσσας,υπουργος αιγαιου,23/11/1989,11/04/1990,male,antonios_foussas
αποστολος ανδρεουλακος,υφυπουργος εσωτερικων δημοσιας διοικησης και αποκεντρωσης,10/03/2004,19/09/2007,male,apostolos_andreoulakos
αποστολος βεσυροπουλος,υφυπουργος οικονομικων,09/07/2019,26/05/2023,male,apostolos_besuropoulos
αποστολος κακλαμανης,υπουργος εργασιας,23/11/1989,13/02/1990,male,apostolos_kaklamanis
αποστολος κατσιφαρας,υφυπουργος δικαιοσυνης διαφανειας και ανθρωπινων δικαιωματων,07/10/2009,07/09/2010,male,apostolos_katsifaras
αποστολος κρατσας,υφυπουργος μεταφορων και επικοινωνιων,11/04/1990,08/08/1991,male,apostolos_kratsas
αποστολος σταυρου,υφυπουργος γεωργιας,03/12/1992,13/10/1993,male,apostolos_staurou
αποστολος φωτιαδης,υφυπουργος γεωργιας,22/01/1996,25/09/1996,male,apostolos_fotiadis
αποστολος φωτιαδης,υφυπουργος οικονομικων,13/04/2000,10/03/2004,male,apostolos_fotiadis
αποστολος-αθανασιος τσοχατζοπουλος,υπουργος μεταφορων και επικοινωνιων,23/11/1989,13/02/1990,male,apostolos-athanasios_tsoxatzopoulos
αποστολος-αθανασιος τσοχατζοπουλος,υπουργος εσωτερικων δημοσιας διοικησης και αποκεντρωσης,15/09/1995,22/01/1996,male,apostolos-athanasios_tsoxatzopoulos
αποστολος-αθανασιος τσοχατζοπουλος,υπουργος εσωτερικων,13/10/1993,08/07/1994,male,apostolos-athanasios_tsoxatzopoulos
αποστολος-αθανασιος τσοχατζοπουλος,υπουργος εσωτερικων δημοσιας διοικησης και αποκεντρωσης,22/01/1996,30/08/1996,male,apostolos-athanasios_tsoxatzopoulos
αποστολος-αθανασιος τσοχατζοπουλος,υπουργος εθνικης αμυνας,25/09/1996,13/04/2000,male,apostolos-athanasios_tsoxatzopoulos
αποστολος-αθανασιος τσοχατζοπουλος,υπουργος εθνικης αμυνας,13/04/2000,24/10/2001,male,apostolos-athanasios_tsoxatzopoulos
αποστολος-αθανασιος τσοχατζοπουλος,υπουργος αναπτυξης,24/10/2001,10/03/2004,male,apostolos-athanasios_tsoxatzopoulos
αργυρης ντινοπουλος,υπουργος εσωτερικων,10/06/2014,31/12/2014,male,arguris_ntinopoulos
αριστειδης καλαντζακος,υπουργος εργασιας,11/04/1990,13/10/1993,male,aristeidis_kalantzakos
αριστειδης τσιπλακος,υφυπουργος εθνικης οικονομιας,11/04/1990,13/10/1993,male,aristeidis_tsiplakos
αριστειδης-νικολαος-δημητριος μπαλτας,υπουργος πολιτισμου παιδειας και θρησκευματων,27/01/2015,27/08/2015,male,aristeidis-nikolaos-dimitrios_mpaltas
αριστειδης-νικολαος-δημητριος μπαλτας,υπουργος πολιτισμου και αθλητισμου,23/09/2015,05/11/2016,male,aristeidis-nikolaos-dimitrios_mpaltas
αριστοβουλος σπηλιωτοπουλος,υπουργος τουριστικης αναπτυξης,19/09/2007,07/01/2009,male,aristoboulos_spiliotopoulos
αριστοβουλος σπηλιωτοπουλος,υπουργος εθνικης παιδειας και θρησκευματων,08/01/2009,07/10/2009,male,aristoboulos_spiliotopoulos
αριστοτελης παυλιδης,υπουργος εμπορικης ναυτιλιας,02/07/1989,12/10/1989,male,aristotelis_paulidis
αριστοτελης παυλιδης,υπουργος εμπορικης ναυτιλιας,01/10/1990,03/12/1992,male,aristotelis_paulidis
αριστοτελης παυλιδης,αναπληρωτης υπουργος εμπορικης ναυτιλιας,24/05/1990,01/10/1990,male,aristotelis_paulidis
αριστοτελης παυλιδης,υφυπουργος οικονομικων,11/04/1990,24/05/1990,male,aristotelis_paulidis
αριστοτελης παυλιδης,υπουργος αιγαιου και νησιωτικης πολιτικης,10/03/2004,19/09/2007,male,aristotelis_paulidis
ασημακης παπαγεωργιου,υφυπουργος περιβαλλοντος ενεργειας και κλιματικης αλλαγης,21/06/2012,27/01/2015,male,asimakis_papageorgiou
ασημινα γκαγκα,αναπληρωτης υπουργος υγειας,31/08/2021,26/05/2023,female,asimina_gkagka
αστεριος πιτσιορλας,υφυπουργος οικονομιας και αναπτυξης,05/11/2016,29/08/2018,male,asterios_pitsiorlas
αστεριος πιτσιορλας,αναπληρωτης υπουργος οικονομιας και αναπτυξης,29/08/2018,09/07/2019,male,asterios_pitsiorlas
αστεριος ροντουλης,υφυπουργος αγροτικης αναπτυξης και τροφιμων,11/11/2011,14/02/2012,male,asterios_rontoulis
αχιλλεας καραμανλης,υπουργος περιβαλλοντος χωροταξιας και δημοσιων εργων,08/08/1991,13/10/1993,male,axilleas_karamanlis
αχιλλεας καραμανλης,αναπληρωτης υπουργος περιβαλλοντος χωροταξιας και δημοσιων εργων,11/04/1990,08/08/1991,male,axilleas_karamanlis
βασιλειος βασιλακακης,υφυπουργος γεωργιας,08/07/1994,15/09/1995,male,basileios_basilakakis
βασιλειος γερανιδης,υφυπουργος γεωργιας,25/09/1996,30/10/1998,male,basileios_geranidis
βασιλειος κασκαρελης,υπουργος εξωτερικων,26/05/2023,07/06/2023,male,basileios_kaskarelis
βασιλειος κεγκερογλου,υφυπουργος εργασιας και κοινωνικης ασφαλισης,07/09/2010,17/06/2011,male,basileios_kegkeroglou
βασιλειος κεγκερογλου,υφυπουργος εργασιας κοινωνικης ασφαλισης και προνοιας,25/06/2013,27/01/2015,male,basileios_kegkeroglou
βασιλειος κικιλιας,υπουργος δημοσιας ταξης και προστασιας του πολιτη,10/06/2014,27/01/2015,male,basileios_kikilias
βασιλειος κικιλιας,υπουργος υγειας,09/07/2019,31/08/2021,male,basileios_kikilias
βασιλειος κικιλιας,υπουργος τουρισμου,31/08/2021,26/05/2023,male,basileios_kikilias
βασιλειος κοκκαλης,υφυπουργος αγροτικης αναπτυξης και τροφιμων,05/11/2016,09/07/2019,male,basileios_kokkalis
βασιλειος κοντογιαννοπουλος,υπουργος εθνικης παιδειας και θρησκευματων,02/07/1989,12/10/1989,male,basileios_kontogiannopoulos
βασιλειος κοντογιαννοπουλος,αναπληρωτης υπουργος εθνικης παιδειας και θρησκευματων,23/11/1989,13/02/1990,male,basileios_kontogiannopoulos
βασιλειος κοντογιαννοπουλος,υπουργος εθνικης παιδειας και θρησκευματων,11/04/1990,10/01/1991,male,basileios_kontogiannopoulos
βασιλειος κοντογιαννοπουλος,υπουργος βιομηχανιας ενεργειας και τεχνολογιας,03/12/1992,13/10/1993,male,basileios_kontogiannopoulos
βασιλειος κοντογιαννοπουλος,υπουργος εμποριου,03/12/1992,13/10/1993,male,basileios_kontogiannopoulos
βασιλειος κοντογιαννοπουλος,υφυπουργος υγειας και προνοιας,07/07/2003,10/03/2004,male,basileios_kontogiannopoulos
βασιλειος κοντοζαμανης,υφυπουργος υγειας,09/07/2019,05/01/2021,male,basileios_kontozamanis
βασιλειος κοντοζαμανης,αναπληρωτης υπουργος υγειας,05/01/2021,31/08/2021,male,basileios_kontozamanis
βασιλειος μαγγινας,υπουργος απασχολησης και κοινωνικης προστασιας,30/04/2007,19/09/2007,male,basileios_magginas
βασιλειος μαγγινας,υπουργος απασχολησης και κοινωνικης προστασιας,19/09/2007,17/12/2007,male,basileios_magginas
βασιλειος μαντζωρης,υφυπουργος εμποριου,26/11/1991,03/12/1992,male,basileios_mantzoris
βασιλειος μαντζωρης,υφυπουργος βιομηχανιας ενεργειας και τεχνολογιας,11/04/1990,03/12/1992,male,basileios_mantzoris
βασιλειος μιχαλολιακος,υφυπουργος εθνικης αμυνας,10/03/2004,19/09/2007,male,basileios_mixaloliakos
βασιλειος μπεκιρης,υφυπουργος εθνικης παιδειας και θρησκευματων,11/04/1990,03/12/1992,male,basileios_mpekiris
βασιλειος παπαγεωργοπουλος,υφυπουργος πολιτισμου,08/08/1991,03/12/1992,male,basileios_papageorgopoulos
βασιλειος σκουρης,υπουργος εσωτερικων,12/10/1989,23/11/1989,male,basileios_skouris
βασιλειος σκουρης,υπουργος εσωτερικων δημοσιας διοικησης και αποκεντρωσης,30/08/1996,25/09/1996,male,basileios_skouris
βασιλειος σκουρης,υπουργος επικρατειας,26/05/2023,07/06/2023,male,basileios_skouris
βασιλικη θανου-χριστοφιλου,πρωθυπουργος,27/08/2015,21/09/2015,female,basiliki_thanou-xristofilou
βασιλικη παπανδρεου (βασω),υπουργος τουρισμου βιομηχανιας ενεργειας και τεχνολογιας και εμποριου,22/01/1996,01/02/1996,female,basiliki_papandreou
βασιλικη παπανδρεου (βασω),υπουργος αναπτυξης,01/02/1996,25/09/1996,female,basiliki_papandreou
βασιλικη παπανδρεου (βασω),υπουργος εσωτερικων δημοσιας διοικησης και αποκεντρωσης,19/02/1999,20/03/2000,female,basiliki_papandreou
βασιλικη παπανδρεου (βασω),υπουργος αναπτυξης,25/09/1996,19/02/1999,female,basiliki_papandreou
βασιλικη παπανδρεου (βασω),υπουργος περιβαλλοντος χωροταξιας και δημοσιων εργων,24/10/2001,10/03/2004,female,basiliki_papandreou
βασιλικη παπανδρεου (βασω),υπουργος εσωτερικων δημοσιας διοικησης και αποκεντρωσης,13/04/2000,24/10/2001,female,basiliki_papandreou
βιργινια τσουδερου,υφυπουργος εξωτερικων,08/08/1991,13/10/1993,female,birginia_tsouderou
βυρωνας πολυδωρας,υφυπουργος προεδριας της κυβερνησης,11/04/1990,07/08/1992,male,buronas_poludoras
βυρωνας πολυδωρας,υφυπουργος εξωτερικων,03/12/1992,13/10/1993,male,buronas_poludoras
