member_name,member_start_date,member_end_date,political_party,administrative_region,gender
ξουλιδου ιωαννη σταυρουλα,2015-01-25,2015-08-28,ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,β' θεσσαλονικης,female
ξυδακης γαλατη νικολαος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων,male
ξυδακης γαλατη νικολαος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων,male
ξυνιδης γεωργιου σωκρατης,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,ξανθης,male
οθωνας οθωνα εμμανουηλ,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,ρεθυμνης,male
οθωνας οθωνα εμμανουηλ,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,ρεθυμνης,male
οθωνας οθωνα εμμανουηλ,2012-05-06,2012-05-19,πανελληνιο σοσιαλιστικο κινημα,ρεθυμνης,male
οικονομοπουλος παναγιωτη τασος,2023-06-25,2023-11-13,δημοκρατικο πατριωτικο κινημα νικη,α' ανατολικης αττικης,male
οικονομου αθανασιου βασιλειος,2000-04-09,2000-12-13,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
οικονομου αθανασιου βασιλειος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
οικονομου αθανασιου βασιλειος,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
οικονομου αθανασιου βασιλειος,2012-03-26,2012-04-11,δημοκρατικη αριστερα,αττικης(υπολοιπο),male
οικονομου αθανασιου βασιλειος,2010-05-06,2012-03-25,ανεξαρτητοι (εκτος κομματος),αττικης(υπολοιπο),male
οικονομου αθανασιου βασιλειος,2009-10-04,2010-05-05,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
οικονομου αθανασιου βασιλειος,2012-05-06,2012-05-19,δημοκρατικη αριστερα,αττικης,male
οικονομου αθανασιου βασιλειος,2014-06-06,2014-12-31,ανεξαρτητοι (εκτος κομματος),αττικης,male
οικονομου αθανασιου βασιλειος,2012-06-17,2014-06-05,δημοκρατικη αριστερα,αττικης,male
οικονομου αθανασιου βασιλειος,2015-01-25,2015-08-28,νεα δημοκρατια,επικρατειας,male
οικονομου αθανασιου βασιλειος,2015-09-20,2019-06-11,νεα δημοκρατια,επικρατειας,male
οικονομου αθανασιου βασιλειος,2019-07-07,2023-04-22,νεα δημοκρατια,α' ανατολικης αττικης,male
οικονομου αθανασιου βασιλειος,2023-05-21,2023-05-29,νεα δημοκρατια,α' ανατολικης αττικης,male
οικονομου αθανασιου βασιλειος,2023-06-25,2023-11-13,νεα δημοκρατια,α' ανατολικης αττικης,male
οικονομου γεωργιου θωμαις (τζινα),2023-05-21,2023-05-29,νεα δημοκρατια,ευρυτανιας,female
οικονομου γεωργιου θωμαις (τζινα),2023-06-25,2023-11-13,νεα δημοκρατια,ευρυτανιας,female
