member_name,member_start_date,member_end_date,political_party,administrative_region
τσοκλη κωνσταντινου μαρια-γλυκερια (μαγια),2009-10-04,2012-02-13,πανελληνιο σοσιαλιστικο κινημα,επικρατειας
τσονογλου-βυλλιωτη παρασχου βασιλικη,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,βοιωτιας
τσουδερου εμμανουηλ βιργινια,1989-01-01,1989-06-02,νεα δημοκρατια,επικρατειας
τσουδερου εμμανουηλ βιργινια,1989-06-18,1989-10-12,νεα δημοκρατια,α' αθηνων
τσουδερου εμμανουηλ βιργινια,1989-11-05,1990-03-12,νεα δημοκρατια,επικρατειας
τσουδερου εμμανουηλ βιργινια,1990-04-08,1993-09-11,νεα δημοκρατια,επικρατειας
τσουκαλας αγγελου κωνσταντινος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,επικρατειας
τσουκαλας βασιλειου δημητριος,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,επικρατειας
τσουκαλης σπυριδωνος νικολαος,2007-09-16,2009-09-07,συνασπισμος ριζοσπαστικης αριστερας,αχαιας
τσουκαλης σπυριδωνος νικολαος,2012-03-26,2012-04-11,δημοκρατικη αριστερα,αχαιας
τσουκαλης σπυριδωνος νικολαος,2010-06-09,2012-03-25,ανεξαρτητοι (εκτος κομματος),αχαιας
τσουκαλης σπυριδωνος νικολαος,2009-10-04,2010-06-08,συνασπισμος ριζοσπαστικης αριστερας,αχαιας
τσουκαλης σπυριδωνος νικολαος,2012-05-06,2012-05-19,δημοκρατικη αριστερα,αχαιας
τσουκαλης σπυριδωνος νικολαος,2012-06-17,2014-12-31,δημοκρατικη αριστερα,αχαιας
τσουκατος εμμανουηλ θεοδωρος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,επικρατειας
τσουμανη-σπεντζα λαμπρου ευγενια,2009-10-04,2012-04-11,νεα δημοκρατια,επικρατειας
τσουμανης αχιλλεα δημητριος,2009-10-04,2012-04-11,νεα δημοκρατια,πρεβεζας
τσουμανης αχιλλεα δημητριος,2012-05-06,2012-05-19,νεα δημοκρατια,πρεβεζας
τσουμανης αχιλλεα δημητριος,2012-06-17,2014-12-31,νεα δημοκρατια,πρεβεζας
τσουρας αγγελου αθανασιος,1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων
τσουρας αγγελου αθανασιος,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων
τσουρας αγγελου αθανασιος,1990-04-08,1991-01-16,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων
