member_name,member_start_date,member_end_date,political_party,administrative_region
αγαθοπουλου δημητριου ειρηνη-ελενη,2012-05-06,2012-05-19,συνασπισμος ριζοσπαστικης αριστερας,κιλκις
αγαθοπουλου δημητριου ειρηνη-ελενη,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,κιλκις
αγαθοπουλου δημητριου ειρηνη-ελενη,2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,κιλκις
λυκουρεζος παυσανια αλεξανδρος-λεων,2000-04-09,2003-07-03,νεα δημοκρατια,α' αθηνων
λυκουρεντζος θεοφανη ανδρεας,2004-03-07,2007-08-18,νεα δημοκρατια,αρκαδιας
λυκουρεντζος θεοφανη ανδρεας,2007-09-16,2009-09-07,νεα δημοκρατια,αρκαδιας
λυκουρεντζος θεοφανη ανδρεας,2009-10-04,2012-04-11,νεα δημοκρατια,αρκαδιας
λυκουρεντζος θεοφανη ανδρεας,2012-05-06,2012-05-19,νεα δημοκρατια,αρκαδιας
λυκουρεντζος θεοφανη ανδρεας,2012-06-17,2014-12-31,νεα δημοκρατια,αρκαδιας
λυμπερακη γεωργιου αντιγονη,2015-01-25,2015-08-28,το ποταμι,β' αθηνων
λυμπερακη γεωργιου αντιγονη,2019-05-07,2019-06-11,το ποταμι,β' αθηνων
λυμπερακη γεωργιου αντιγονη,2019-04-11,2019-05-06,ανεξαρτητοι (εκτος κομματος),β' αθηνων
λυμπερακιδης γρηγοριου λεωνιδας,1993-10-10,1996-08-24,νεα δημοκρατια,εβρου
λυμπερακιδης γρηγοριου λεωνιδας,1996-09-22,2000-03-14,νεα δημοκρατια,εβρου
λυμπερακιδης γρηγοριου λεωνιδας,2000-04-09,2004-02-11,νεα δημοκρατια,εβρου
λυτριβη δημητριου ιωαννα,2023-05-21,2023-05-29,νεα δημοκρατια,επικρατειας
λωρας λεωνιδα ανεστης,1989-06-18,1989-10-12,νεα δημοκρατια,ιωαννινων
λωρας λεωνιδα ανεστης,1989-11-05,1990-03-12,νεα δημοκρατια,ιωαννινων
λωτιδης κυριακου λαζαρος,1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,κοζανης
λωτιδης κυριακου λαζαρος,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,κοζανης
λωτιδης κυριακου λαζαρος,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,κοζανης
λωτιδης κυριακου λαζαρος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,κοζανης
λωτιδης κυριακου λαζαρος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,κοζανης
λωτιδης κυριακου λαζαρος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,κοζανης
λωτιδης κυριακου λαζαρος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,κοζανης
μαγγινας νικολαου βασιλειος,1993-10-10,1996-08-24,νεα δημοκρατια,αιτωλοακαρνανιας
μαγγινας νικολαου βασιλειος,1996-09-22,2000-03-14,νεα δημοκρατια,αιτωλοακαρνανιας
μαγγινας νικολαου βασιλειος,2004-03-07,2007-08-18,νεα δημοκρατια,αιτωλοακαρνανιας
μαγγινας νικολαου βασιλειος,2007-09-16,2009-09-07,νεα δημοκρατια,αιτωλοακαρνανιας
μαγκακης αντωνιου γεωργιος-αλεξανδρος,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων
μαγκακης αντωνιου γεωργιος-αλεξανδρος,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων
μαγκακης αντωνιου γεωργιος-αλεξανδρος,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων
μαγκακης αντωνιου γεωργιος-αλεξανδρος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων
ανουσακη ευαγγελου ελενη-ηλεκτρα,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων
ανουσακη ευαγγελου ελενη-ηλεκτρα,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων
ανουσακη ευαγγελου ελενη-ηλεκτρα,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων
ανουσακη ευαγγελου ελενη-ηλεκτρα,2002-12-31,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων
μαγκουφης ευθυμιου χρηστος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,τρικαλων
μαγκουφης ευθυμιου χρηστος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,τρικαλων
μαγκουφης ευθυμιου χρηστος,2012-02-12,2012-04-11,ανεξαρτητοι (εκτος κομματος),τρικαλων
μαγκουφης ευθυμιου χρηστος,2009-10-04,2012-02-11,πανελληνιο σοσιαλιστικο κινημα,τρικαλων
μαγκριωτης αστεριου ιωαννης,1995-04-06,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,επικρατειας
μαγκριωτης αστεριου ιωαννης,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
μαγκριωτης αστεριου ιωαννης,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
μαγκριωτης αστεριου ιωαννης,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
μαγκριωτης αστεριου ιωαννης,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
μαγκριωτης αστεριου ιωαννης,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
μακαρονας γεωργιου γρηγοριος,2015-07-07,2015-08-28,ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,ηρακλειου
μακρη-θεοδωρου ευαγγελου ελενη,2012-06-17,2014-12-31,νεα δημοκρατια,φθιωτιδας
μακρη-θεοδωρου ευαγγελου ελενη,2023-01-11,2023-04-22,νεα δημοκρατια,φθιωτιδας
μακρη κωνσταντινου ραχηλ,2012-05-06,2012-05-19,ανεξαρτητοι ελληνες - πανος καμμενος,κοζανης
μακρη κωνσταντινου ραχηλ,2014-10-16,2014-12-31,ανεξαρτητοι δημοκρατικοι βουλευτες,κοζανης
μακρη κωνσταντινου ραχηλ,2014-10-07,2014-10-15,ανεξαρτητοι (εκτος κομματος),κοζανης
μακρη κωνσταντινου ραχηλ,2012-06-17,2014-10-06,ανεξαρτητοι ελληνες - πανος καμμενος,κοζανης
μακρη κωνσταντινου ραχηλ,2015-08-21,2015-08-28,λαικη ενοτητα,κοζανης
μακρη κωνσταντινου ραχηλ,2015-01-25,2015-08-20,συνασπισμος ριζοσπαστικης αριστερας,κοζανης
μακρη μιχαηλ ζωη (ζεττα),2000-04-09,2004-02-11,νεα δημοκρατια,μαγνησιας
μακρη μιχαηλ ζωη (ζεττα),2004-03-07,2007-08-18,νεα δημοκρατια,μαγνησιας
μακρη μιχαηλ ζωη (ζεττα),2013-04-01,2014-12-31,νεα δημοκρατια,μαγνησιας
μακρη μιχαηλ ζωη (ζεττα),2019-07-07,2023-04-22,νεα δημοκρατια,μαγνησιας
μακρη μιχαηλ ζωη (ζεττα),2023-05-21,2023-05-29,νεα δημοκρατια,μαγνησιας
μακρυπιδης διονυσιου ανδρεας,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,αιτωλοακαρνανιας
μακρυπιδης διονυσιου ανδρεας,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,αιτωλοακαρνανιας
μακρυπιδης διονυσιου ανδρεας,2009-05-08,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,αιτωλοακαρνανιας
μακρυπιδης διονυσιου ανδρεας,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,αιτωλοακαρνανιας
μαλαμα ιωαννη κυριακη,2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,χαλκιδικης
μαλαμα ιωαννη κυριακη,2023-05-21,2023-05-29,συριζα - προοδευτικη συμμαχια,χαλκιδικης
αντωνακοπουλος γεωργιου παναγιωτης,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,ηλειας
αντωνακοπουλος γεωργιου παναγιωτης,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,ηλειας
αντωνακοπουλος γεωργιου παναγιωτης,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,ηλειας
μαλεβιτης ιωαννη ηλιας,1989-01-01,1989-06-02,νεα δημοκρατια,αχαιας
μαλεσιος νικολαου ευαγγελος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,ιωαννινων
μαλεσιος νικολαου ευαγγελος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,ιωαννινων
μαλεσιος νικολαου ευαγγελος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,ιωαννινων
μαλτεζος φωτεινου μενελαος,2023-05-21,2023-05-29,συριζα - προοδευτικη συμμαχια,εβρου
μαμμωνας δημοσθενη νικολαος,1989-06-18,1989-10-12,νεα δημοκρατια,λαρισας
μαμμωνας δημοσθενη νικολαος,1989-11-05,1990-03-12,νεα δημοκρατια,λαρισας
μαμμωνας δημοσθενη νικολαος,1990-04-08,1993-09-11,νεα δημοκρατια,λαρισας
μαμουλακης αντωνιου χαραλαμπος (χαρης),2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,ηρακλειου
μαμουλακης αντωνιου χαραλαμπος (χαρης),2023-05-21,2023-05-29,συριζα - προοδευτικη συμμαχια,ηρακλειου
μανδρεκα παναγιωτη ασπασια,2012-05-06,2012-05-19,νεα δημοκρατια,φωκιδας
μανδρεκα παναγιωτη ασπασια,2012-06-17,2014-12-31,νεα δημοκρατια,φωκιδας
μανη-παπαδημητριου ευαγγελου αννα,2012-06-17,2014-12-31,νεα δημοκρατια,πιεριας
μανη-παπαδημητριου ευαγγελου αννα,2019-07-07,2023-04-22,νεα δημοκρατια,πιεριας
μανη-παπαδημητριου ευαγγελου αννα,2023-05-21,2023-05-29,νεα δημοκρατια,πιεριας
αντωνακου αγγελου σταυρουλα,2015-01-25,2015-08-28,το ποταμι,α' πειραιως
μανιατης αναστασιου ιωαννης,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,αργολιδος
μανιατης αναστασιου ιωαννης,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,αργολιδος
μανιατης αναστασιου ιωαννης,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,αργολιδος
μανιατης αναστασιου ιωαννης,2012-05-06,2012-05-19,πανελληνιο σοσιαλιστικο κινημα,αργολιδος
μανιατης αναστασιου ιωαννης,2012-06-17,2014-12-31,πανελληνιο σοσιαλιστικο κινημα,αργολιδος
μανιατης αναστασιου ιωαννης,2015-09-20,2019-06-11,δημοκρατικη συμπαραταξη (πανελληνιο σοσιαλιστικο κινημα - δημοκρατικη αριστερα),αργολιδος
μανικας αναστασιου στεφανος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,επικρατειας
μανικας αναστασιου στεφανος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων
μανιος εμμανουηλ νικολαος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,κυκλαδων
μανιος εμμανουηλ νικολαος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,κυκλαδων
μανος αλεξανδρου στεφανος,1989-01-01,1989-06-02,νεα δημοκρατια,α' αθηνων
μανος αλεξανδρου στεφανος,1989-11-05,1990-03-12,νεα δημοκρατια,α' αθηνων
μανος αλεξανδρου στεφανος,1990-04-08,1993-09-11,νεα δημοκρατια,α' αθηνων
μανος αλεξανδρου στεφανος,1993-10-10,1996-08-24,νεα δημοκρατια,α' αθηνων
μανος αλεξανδρου στεφανος,1996-09-22,2000-03-14,νεα δημοκρατια,α' αθηνων
μανος αλεξανδρου στεφανος,2000-04-09,2004-02-11,νεα δημοκρατια,α' αθηνων
μανος αλεξανδρου στεφανος,2004-04-16,2007-08-18,ανεξαρτητοι (εκτος κομματος),επικρατειας
μανος αλεξανδρου στεφανος,2004-03-07,2004-04-15,πανελληνιο σοσιαλιστικο κινημα,επικρατειας
μανουσακης μανουσου διακος,1989-01-01,1989-06-02,νεα δημοκρατια,πελλης
μανουσος κωνσταντινου ιωαννης,1990-04-08,1993-09-11,νεα δημοκρατια,κυκλαδων
μανουσου-μπινοπουλου χρηστου αριαδνη,2004-03-26,2007-08-18,νεα δημοκρατια,κυκλαδων
μανουσου-μπινοπουλου χρηστου αριαδνη,2007-09-16,2009-09-07,νεα δημοκρατια,κυκλαδων
μαντας κωνσταντινου χρηστος,2012-05-06,2012-05-19,συνασπισμος ριζοσπαστικης αριστερας,ιωαννινων
μαντας κωνσταντινου χρηστος,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,ιωαννινων
μαντας κωνσταντινου χρηστος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,ιωαννινων
μαντας κωνσταντινου χρηστος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,ιωαννινων
μαντας παντελη περικλης,2019-07-07,2023-04-22,νεα δημοκρατια,μεσσηνιας
αντωνακουδης δημητριου γεωργιος,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,εβρου
μαντατζη μουχαμερ τσετιν,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,ξανθης
μαντατζη μουχαμερ τσετιν,2012-02-12,2012-04-11,ανεξαρτητοι (εκτος κομματος),ξανθης
μαντατζη μουχαμερ τσετιν,2009-10-04,2012-02-11,πανελληνιο σοσιαλιστικο κινημα,ξανθης
μαντελης χαραλαμπους αναστασιος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,επικρατειας
μαντελης χαραλαμπους αναστασιος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων
μαντζος σωτηριου δημητριος,2023-05-21,2023-05-29,πασοκ - κινημα αλλαγης,επικρατειας
μαντζωρης κωνσταντινου βασιλειος,1989-01-01,1989-06-02,νεα δημοκρατια,αρκαδιας
μαντζωρης κωνσταντινου βασιλειος,1989-06-18,1989-10-12,νεα δημοκρατια,αρκαδιας
μαντζωρης κωνσταντινου βασιλειος,1989-11-05,1990-03-12,νεα δημοκρατια,αρκαδιας
μαντζωρης κωνσταντινου βασιλειος,1990-04-08,1993-09-08,νεα δημοκρατια,αρκαδιας
μαντουβαλος σταυρου πετρος,2000-04-09,2004-02-11,νεα δημοκρατια,α' πειραιως
μαντουβαλος σταυρου πετρος,2005-10-24,2007-08-18,ανεξαρτητοι (εκτος κομματος),α' πειραιως
μαντουβαλος σταυρου πετρος,2004-03-07,2005-10-23,νεα δημοκρατια,α' πειραιως
μανωλακης χρηστου αγγελος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,κορινθιας
μανωλακης χρηστου αγγελος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,κορινθιας
μανωλακος πετρου νικολαος,2019-07-07,2023-04-22,νεα δημοκρατια,α' πειραιως
μανωλακου εμμανουηλ διαμαντω,2008-05-23,2009-09-07,κομμουνιστικο κομμα ελλαδας,α' πειραιως
μανωλακου εμμανουηλ διαμαντω,2009-10-04,2012-04-11,κομμουνιστικο κομμα ελλαδας,α' πειραιως
μανωλακου εμμανουηλ διαμαντω,2012-05-06,2012-05-19,κομμουνιστικο κομμα ελλαδας,β' πειραιως
μανωλακου εμμανουηλ διαμαντω,2012-06-17,2014-12-31,κομμουνιστικο κομμα ελλαδας,β' πειραιως
μανωλακου εμμανουηλ διαμαντω,2015-01-25,2015-08-28,κομμουνιστικο κομμα ελλαδας,β' πειραιως
μανωλακου εμμανουηλ διαμαντω,2015-09-20,2019-06-11,κομμουνιστικο κομμα ελλαδας,β' πειραιως
μανωλακου εμμανουηλ διαμαντω,2019-07-07,2023-04-22,κομμουνιστικο κομμα ελλαδας,β' πειραιως
μανωλακου εμμανουηλ διαμαντω,2023-05-21,2023-05-29,κομμουνιστικο κομμα ελλαδας,β' πειραιως
αντωναρος αρχελαου ευαγγελος,2009-10-13,2012-04-11,νεα δημοκρατια,επικρατειας
μανωλης γεωργιου ιωαννης,2004-03-07,2007-08-18,νεα δημοκρατια,αργολιδος
μανωλης γεωργιου ιωαννης,2007-09-16,2009-08-31,νεα δημοκρατια,αργολιδος
μανωλης γεωργιου ιωαννης,2012-05-06,2012-05-19,ανεξαρτητοι ελληνες - πανος καμμενος,β' αθηνων
μανωλια παντελη χρυσανθη,2000-04-09,2000-09-20,πανελληνιο σοσιαλιστικο κινημα,ροδοπης
μανωλια παντελη χρυσανθη,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,ροδοπης
μαραβεγιας αριστοτελη κωνσταντινος,2019-07-07,2023-04-22,νεα δημοκρατια,μαγνησιας
μαργελης νικολαου σπυροπανος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,λευκαδας
μαρδας χρυσοβεργη δημητριος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,β' θεσσαλονικης
μαριας αθανασιου επαμεινωνδας (νοτης),2012-05-06,2012-05-19,ανεξαρτητοι ελληνες - πανος καμμενος,ηρακλειου
μαριας αθανασιου επαμεινωνδας (νοτης),2012-06-17,2014-05-02,ανεξαρτητοι ελληνες - πανος καμμενος,ηρακλειου
μαρινακης αποστολου μιλτιαδης,1989-01-01,1989-06-02,νεα δημοκρατια,α' πειραιως
μαρινακης αποστολου μιλτιαδης,1989-11-05,1990-03-12,νεα δημοκρατια,α' πειραιως
μαρινακης κωνσταντινου αλεξανδρος,2023-05-21,2023-05-29,κομμουνιστικο κομμα ελλαδας,χανιων
μαρινιδης ιωαννη σταυρος,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,κιλκις
μαρινος βασιλειου γεωργιος,2007-09-16,2009-09-07,κομμουνιστικο κομμα ελλαδας,ευβοιας
μαρινος βασιλειου γεωργιος,2009-10-04,2012-04-11,κομμουνιστικο κομμα ελλαδας,ευβοιας
μαρινος βασιλειου γεωργιος,2012-05-06,2012-05-19,κομμουνιστικο κομμα ελλαδας,ευβοιας
μαρινος βασιλειου γεωργιος,2015-01-25,2015-08-28,κομμουνιστικο κομμα ελλαδας,ευβοιας
μαρινος βασιλειου γεωργιος,2019-07-07,2023-04-22,κομμουνιστικο κομμα ελλαδας,ευβοιας
μαρινος βασιλειου γεωργιος,2023-05-21,2023-05-29,κομμουνιστικο κομμα ελλαδας,ευβοιας
μαρινος σπυριδωνος ανδρεας,2012-06-17,2014-12-31,νεα δημοκρατια,ηλειας
μαρκακης γεωργιου παυλος,2009-10-04,2012-04-11,λαικος ορθοδοξος συναγερμος,μαγνησιας
μαρκετος γερασιμου σπυριδων,1989-01-01,1989-06-02,νεα δημοκρατια,α' αθηνων
μαρκογιαννακης εμμανουηλ χρηστος,1989-06-18,1989-10-12,νεα δημοκρατια,χανιων
μαρκογιαννακης εμμανουηλ χρηστος,1989-11-05,1990-03-12,νεα δημοκρατια,χανιων
μαρκογιαννακης εμμανουηλ χρηστος,1990-04-08,1993-09-11,νεα δημοκρατια,χανιων
μαρκογιαννακης εμμανουηλ χρηστος,1993-10-10,1996-08-24,νεα δημοκρατια,χανιων
μαρκογιαννακης εμμανουηλ χρηστος,1996-09-22,2000-03-14,νεα δημοκρατια,χανιων
μαρκογιαννακης εμμανουηλ χρηστος,2000-04-09,2004-02-11,νεα δημοκρατια,χανιων
μαρκογιαννακης εμμανουηλ χρηστος,2004-03-07,2007-08-18,νεα δημοκρατια,χανιων
μαρκογιαννακης εμμανουηλ χρηστος,2007-09-16,2009-09-07,νεα δημοκρατια,χανιων
μαρκογιαννακης εμμανουηλ χρηστος,2010-08-19,2012-04-11,ανεξαρτητοι (εκτος κομματος),χανιων
μαρκογιαννακης εμμανουηλ χρηστος,2009-10-04,2010-08-18,νεα δημοκρατια,χανιων
μαρκογιαννακης εμμανουηλ χρηστος,2012-06-17,2014-12-31,νεα δημοκρατια,χανιων
μαρκοπουλος αθανασιου κωνσταντινος,2004-03-07,2007-08-18,νεα δημοκρατια,ευβοιας
μαρκοπουλος αθανασιου κωνσταντινος,2007-09-16,2009-09-07,νεα δημοκρατια,ευβοιας
μαρκοπουλος αθανασιου κωνσταντινος,2012-04-03,2012-04-11,ανεξαρτητοι ελληνες - πανος καμμενος,ευβοιας
μαρκοπουλος αθανασιου κωνσταντινος,2012-02-12,2012-04-02,ανεξαρτητοι (εκτος κομματος),ευβοιας
μαρκοπουλος αθανασιου κωνσταντινος,2009-10-04,2012-02-11,νεα δημοκρατια,ευβοιας
μαρκοπουλος αθανασιου κωνσταντινος,2012-05-06,2012-05-19,ανεξαρτητοι ελληνες - πανος καμμενος,ευβοιας
μαρκοπουλος αθανασιου κωνσταντινος,2013-07-01,2014-12-31,νεα δημοκρατια,ευβοιας
μαρκοπουλος αθανασιου κωνσταντινος,2012-12-13,2013-06-30,ανεξαρτητοι (εκτος κομματος),ευβοιας
μαρκοπουλος αθανασιου κωνσταντινος,2012-06-17,2012-12-12,ανεξαρτητοι ελληνες - πανος καμμενος,ευβοιας
μαρκοπουλος αντωνιου χρηστος,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,επικρατειας
μαρκοπουλος κωνσταντινου δημητριος,2019-07-07,2023-04-22,νεα δημοκρατια,β' πειραιως
μαρκοπουλος κωνσταντινου δημητριος,2023-05-21,2023-05-29,νεα δημοκρατια,β' πειραιως
μαρκου βασιλειου κωνσταντινος,2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,αχαιας
αντωνιαδης δημητριου ιωαννης,2015-01-25,2015-08-28,νεα δημοκρατια,φλωρινας
αντωνιαδης δημητριου ιωαννης,2015-09-20,2019-06-11,νεα δημοκρατια,φλωρινας
αντωνιαδης δημητριου ιωαννης,2019-07-07,2023-04-22,νεα δημοκρατια,φλωρινας
μαρκου δημοσθενη αικατερινη,2012-05-06,2012-05-19,δημοκρατικη αριστερα,β' θεσσαλονικης
μαρκου δημοσθενη αικατερινη,2014-07-10,2014-12-31,ανεξαρτητοι (εκτος κομματος),β' θεσσαλονικης
μαρκου δημοσθενη αικατερινη,2012-06-17,2014-07-09,δημοκρατικη αριστερα,β' θεσσαλονικης
μαρκου δημοσθενη αικατερινη,2015-01-25,2015-08-28,το ποταμι,β' θεσσαλονικης
μαρκου δημοσθενη αικατερινη,2018-02-28,2019-04-25,νεα δημοκρατια,β' θεσσαλονικης
μαρκου δημοσθενη αικατερινη,2016-11-21,2018-02-27,ανεξαρτητοι (εκτος κομματος),β' θεσσαλονικης
μαρκου δημοσθενη αικατερινη,2015-09-20,2016-11-20,το ποταμι,β' θεσσαλονικης
μαρουδας ιωαννη δημητριος,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,ζακυνθου
μαρτινου αθανασιου γεωργια,2012-05-06,2012-05-19,νεα δημοκρατια,αττικης
μαρτινου αθανασιου γεωργια,2012-06-17,2014-12-31,νεα δημοκρατια,αττικης
μαρτινου αθανασιου γεωργια,2015-01-25,2015-08-28,νεα δημοκρατια,αττικης
μαρτινου αθανασιου γεωργια,2015-09-20,2019-06-11,νεα δημοκρατια,αττικης
μαρτινου αθανασιου γεωργια,2019-07-07,2023-04-22,νεα δημοκρατια,α' ανατολικης αττικης
ματζαπετακης εμμανουηλ στυλιανος,1989-06-18,1989-10-12,νεα δημοκρατια,ηρακλειου
ματζαπετακης εμμανουηλ στυλιανος,1990-04-08,1993-09-11,νεα δημοκρατια,ηρακλειου
ματζαπετακης εμμανουηλ στυλιανος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,ηρακλειου
ματζαπετακης εμμανουηλ στυλιανος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,ηρακλειου
ματης δημητριου αθανασιος,1989-11-05,1990-03-08,πανελληνιο σοσιαλιστικο κινημα,τρικαλων
ματης δημητριου αθανασιος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,τρικαλων
ματης δημητριου αθανασιος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,τρικαλων
ματης δημητριου αθανασιος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,τρικαλων
ματθαιοπουλος παυλου αρτεμιος,2012-07-23,2014-12-31,λαικος συνδεσμος - χρυση αυγη,σερρων
ματθαιοπουλος παυλου αρτεμιος,2015-01-25,2015-08-28,λαικος συνδεσμος - χρυση αυγη,σερρων
ματραγκας διονυσιου ηρακλης,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,ηλειας
ματραγκας διονυσιου ηρακλης,1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,ηλειας
μαυραγανης ανδρεα νικολαος,2015-01-25,2015-08-28,ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,ευβοιας
αντωνιου αθανασιου χρηστος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,ημαθιας
μαυρατζωτης εμμανουηλ δημητριος,2012-05-06,2012-05-19,κομμουνιστικο κομμα ελλαδας,σαμου
μαυρικος εμμανουηλ γεωργιος,2007-09-16,2009-09-07,κομμουνιστικο κομμα ελλαδας,β' αθηνων
μαυρικος εμμανουηλ γεωργιος,2009-10-04,2012-04-11,κομμουνιστικο κομμα ελλαδας,β' αθηνων
μαυροδογλου ζαφειριου διαμαντης,1989-01-01,1989-06-02,κομμουνιστικο κομμα ελλαδας,β' αθηνων
μαυρος ιωαννη γεωργιος,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,επικρατειας
μαυρωτας παρασκευα γεωργιος,2015-01-25,2015-08-28,το ποταμι,αττικης
μαυρωτας παρασκευα γεωργιος,2019-05-07,2019-06-11,το ποταμι,αττικης(υπολοιπο)
μαυρωτας παρασκευα γεωργιος,2019-01-21,2019-05-06,ανεξαρτητοι (εκτος κομματος),αττικης(υπολοιπο)
μαυρωτας παρασκευα γεωργιος,2015-09-20,2019-01-20,το ποταμι,αττικης
μαχαιρα ανδρεα μαρια,1993-10-10,1996-08-24,πολιτικη ανοιξη,α' πειραιως
μεγαλομυστακας χρηστου αναστασιος,2019-05-30,2019-06-11,ανεξαρτητοι (εκτος κομματος),σερρων
μεγαλομυστακας χρηστου αναστασιος,2015-09-20,2019-05-29,ενωση κεντρωων,σερρων
μεγαλοοικονομου πασχαλη θεοδωρα,2019-05-28,2019-06-11,ανεξαρτητοι (εκτος κομματος),β' πειραιως
μεγαλοοικονομου πασχαλη θεοδωρα,2018-01-15,2019-05-27,συνασπισμος ριζοσπαστικης αριστερας,β' πειραιως
μεγαλοοικονομου πασχαλη θεοδωρα,2017-07-10,2018-01-14,ανεξαρτητοι (εκτος κομματος),β' πειραιως
μεγαλοοικονομου πασχαλη θεοδωρα,2015-09-20,2017-07-09,ενωση κεντρωων,β' πειραιως
μεικοπουλος μιχαηλ αλεξανδρος,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,μαγνησιας
μεικοπουλος μιχαηλ αλεξανδρος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,μαγνησιας
