No.,1,Name,Αβδελάς Κωνσταντίνου Απόστολος,Period,ΙΗ΄(17/07/2019-22/04/2023),Date,07/07/2019,Administrative-Region,Α'ΘΕΣΣΑΛΟΝΙΚΗΣ,Parliamentary-Party,ΕΛΛΗΝΙΚΗΛΥΣΗ-ΚΥΡΙΑΚΟΣΒΕΛΟΠΟΥΛΟΣ,Description,Εκλογής,,
No.,2,Name,Αβέρωφ - Τοσίτσας Αναστασίου Ευάγγελος,Period,Α'(17/11/1974-22/10/1977),Date,17/11/1974,Administrative-Region,ΙΩΑΝΝΙΝΩΝ,Parliamentary-Party,ΝΕΑΔΗΜΟΚΡΑΤΙΑ,Description,Εκλογής,,
No.,3,Name,Αβέρωφ - Τοσίτσας Αναστασίου Ευάγγελος,Period,Β'(20/11/1977-19/09/1981),Date,20/11/1977,Administrative-Region,ΙΩΑΝΝΙΝΩΝ,Parliamentary-Party,ΝΕΑΔΗΜΟΚΡΑΤΙΑ,Description,Εκλογής,,
No.,4,Name,Αβέρωφ - Τοσίτσας Αναστασίου Ευάγγελος,Period,Γ'(18/10/1981-07/05/1985),Date,18/10/1981,Administrative-Region,ΙΩΑΝΝΙΝΩΝ,Parliamentary-Party,ΝΕΑΔΗΜΟΚΡΑΤΙΑ,Description,Εκλογής,,
No.,5,Name,Αβέρωφ - Τοσίτσας Αναστασίου Ευάγγελος,Period,Δ'(02/06/1985-02/06/1989),Date,02/06/1985,Administrative-Region,ΕΠΙΚΡΑΤΕΙΑΣ,Parliamentary-Party,ΝΕΑΔΗΜΟΚΡΑΤΙΑ,Description,Εκλογής,,
No.,6,Name,Αβέρωφ - Τοσίτσας Αναστασίου Ευάγγελος,Period,Ε'(18/06/1989-12/10/1989),Date,18/06/1989,Administrative-Region,ΕΠΙΚΡΑΤΕΙΑΣ,Parliamentary-Party,ΝΕΑΔΗΜΟΚΡΑΤΙΑ,Description,Εκλογής,,
No.,7,Name,Αβέρωφ - Τοσίτσας Αναστασίου Ευάγγελος,Period,ΣΤ'(05/11/1989-12/03/1990),Date,05/11/1989,Administrative-Region,ΕΠΙΚΡΑΤΕΙΑΣ,Parliamentary-Party,ΝΕΑΔΗΜΟΚΡΑΤΙΑ,Description,Εκλογής,,
No.,8,Name,Αβέρωφ - Τοσίτσας Αναστασίου Ευάγγελος,Period,ΣΤ'(05/11/1989-12/03/1990),Date,02/01/1990,Administrative-Region,ΕΠΙΚΡΑΤΕΙΑΣ,Parliamentary-Party,ΝΕΑΔΗΜΟΚΡΑΤΙΑ,Description,Απεβίωσε(αντικαταστάτης,ΚοραχάηςΒασίλειοςΙωάννη),
No.,9,Name,Αβέρωφ Μιχαήλ Ιωάννης,Period,Ε'(18/06/1989-12/10/1989),Date,18/06/1989,Administrative-Region,ΙΩΑΝΝΙΝΩΝ,Parliamentary-Party,ΝΕΑΔΗΜΟΚΡΑΤΙΑ,Description,Εκλογής,,
No.,10,Name,Αβέρωφ Μιχαήλ Ιωάννης,Period,ΣΤ'(05/11/1989-12/03/1990),Date,05/11/1989,Administrative-Region,ΙΩΑΝΝΙΝΩΝ,Parliamentary-Party,ΝΕΑΔΗΜΟΚΡΑΤΙΑ,Description,Εκλογής,,
