date,event,member_name,member_role,gov_date_from,gov_date_to,gov_name
1991-08-08,διορισμος,σωτηριου κουβελα,υπουργου γεωργιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1991-08-08,διορισμος,γεωργιου σουρλα,"υπουργου υγειας, προνοιας και κοινωνικων ασφαλισεων",1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1991-08-08,διορισμος,μιχαηλ παπακωνσταντινου,υπουργου δικαιοσυνης,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1991-08-08,διορισμος,αννας ψαρουδας-μπενακη,υπουργου πολιτισμου,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1991-08-08,διορισμος,θεοδωρου αναγνωστοπουλου,υπουργου δημοσιας ταξης,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1991-08-08,διορισμος,παναγιωτη χατζηνικολαου,υπουργου μακεδονιας-θρακης,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1991-08-08,διορισμος,κωνσταντινου μητσοτακη,υπουργου αιγαιου,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1991-08-08,διορισμος,αχιλλεα καραμανλη,"υπουργου περιβαλλοντος, χωροταξιας και δημοσιων εργων",1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1991-08-08,διορισμος,ανδρεα ανδριανοπουλου,"υπουργου βιομηχανιας, ενεργειας και τεχνολογιας και υπουργου εμποριου",1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1991-08-08,διορισμος,νικολαου-λεανδρου λιναρδατου,υφυπουργου στον πρωθυπουργο,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1991-08-08,διορισμος,ιωαννη σταθοπουλου,υφυπουργου εθνικης αμυνας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1991-08-08,διορισμος,βιργινιας τσουδερου,υφυπουργου εξωτερικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1991-08-08,διορισμος,σωτηριου χατζηγακη,υφυπουργου εθνικης οικονομιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1991-08-08,διορισμος,κωνσταντινου γιατρακου,υφυπουργου οικονομικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1991-08-08,διορισμος,χρηστου κοσκινα,υφυπουργου γεωργιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1991-08-08,διορισμος,δημητριου σιουφα,"υφυπουργου υγειας, προνοιας και κοινωνικων ασφαλισεων",1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1991-08-08,διορισμος,βασιλειου παπαγεωργοπουλου,υφυπουργου πολιτισμου,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1991-08-08,διορισμος,χρηστου κατσιγιαννη,"υφυπουργου περιβαλλοντος, χωροταξιας και δημοσιων εργων",1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1991-08-28,διορισμος,γεωργιου μισαηλιδη,υφυπουργου αιγαιου,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1991-09-04,παραιτηση,ιωαννη κεφαλογιαννη,υπουργου τουρισμου,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1991-10-31,παραιτηση,μιλτιαδη εβερτ,υπουργου προεδριας της κυβερνησης,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1991-10-31,παραιτηση,σωτηριου κουβελα,υπουργου γεωργιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1991-10-31,παραιτηση,σωτηριου χατζηγακη,υφυπουργου εθνικης οικονομιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1991-10-31,διορισμος,σωτηριου κουβελα,υπουργου προεδριας της κυβερνησης,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1991-10-31,διορισμος,σωτηριου χατζηγακη,υπουργου γεωργιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1991-11-26,διορισμος,βασιλειου μαντζωρη,υφυπουργου εμποριου,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-02-17,παραιτηση,ευθυμιου χριστοδουλου,υπουργου εθνικης οικονομιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-02-17,διορισμος,στεφανου μανου,υπουργου εθνικης οικονομιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-02-17,διορισμος,κωνσταντινου δουση,υφυπουργου εθνικης οικονομιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-02-21,παραιτηση,αθανασιου κανελλοπουλου,αντιπροεδρου της κυβερνησης και υπουργου επικρατειας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-04-01,παραιτηση,μιχαηλ (μικη) θεοδωρακη,υπουργου επικρατειας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-04-14,παραιτηση,αντωνιου σαμαρα,υπουργου εξωτερικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-04-14,διορισμος,κωνσταντινου μητσοτακη,υπουργου εξωτερικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-04-14,διορισμος,ιωαννη τζουνη,υφυπουργου εξωτερικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-08-07,παραιτηση,κωνσταντινου μητσοτακη,υπουργου εξωτερικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-08-07,παραιτηση,ιωαννη παλαιοκρασσα,υπουργου οικονομικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-08-07,παραιτηση,μιχαηλ παπακωνσταντινου,υπουργου δικαιοσυνης,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-08-07,παραιτηση,ανδρεα ανδριανοπουλου,"υπουργου βιομηχανιας, ενεργειας και τεχνολογιας και υπουργου εμποριου",1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-08-07,παραιτηση,νικολαου-λεανδρου λιναρδατου,υφυπουργου στον πρωθυπουργο,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-08-07,παραιτηση,βυρωνα πολυδωρα,υφυπουργου προεδριας της κυβερνησης,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-08-07,παραιτηση,ιωαννη τζουνη,υφυπουργου εξωτερικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-08-07,διορισμος,μιχαηλ παπακωνσταντινου,υπουργου εξωτερικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-08-07,διορισμος,στεφανου μανου,υπουργου οικονομικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-08-07,διορισμος,ιωαννη βαρβιτσιωτη,υπουργου δικαιοσυνης,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-08-07,διορισμος,ιωαννη παλαιοκρασσα,"υπουργου βιομηχανιας, ενεργειας και τεχνολογιας και υπουργου εμποριου",1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-08-07,διορισμος,ανδρεα ανδριανοπουλου,υπουργου επικρατειας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-08-07,διορισμος,θεοδωρας μπακογιαννη,υφυπουργου στον πρωθυπουργο,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-08-07,διορισμος,μιχαηλ γαλενιανου,υφυπουργου οικονομικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-08-07,διορισμος,πετρου δουκα,υφυπουργου οικονομικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-08-07,διορισμος,βυρωνα πολυδωρα,υφυπουργου εθνικης παιδειας και θρησκευματων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-11-27,παραιτηση,σωτηριου χατζηγακη,υπουργου γεωργιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-11-27,παραιτηση,χρηστου κοσκινα,υφυπουργου γεωργιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-11-27,διορισμος,χρηστου κοσκινα,υπουργου γεωργιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,παραιτηση,νικολαου κλειτου,υπουργου εσωτερικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,παραιτηση,γεωργιου σουρλα,"υπουργου υγειας, προνοιας και κοινωνικων ασφαλισεων",1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,παραιτηση,ιωαννη βαρβιτσιωτη,υπουργου δικαιοσυνης,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,παραιτηση,αννας ψαρουδα-μπενακη,υπουργου πολιτισμου,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,παραιτηση,αριστοτελη παυλιδη,υπουργου εμπορικης ναυτιλιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,παραιτηση,θεοδωρου αναγνωστοπουλου,υπουργου δημοσιας ταξης,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,παραιτηση,ιωαννη παλαιοκρασσα,"υπουργου βιομηχανιας, ενεργειας και τεχνολογιας και υπουργου εμποριου",1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,παραιτηση,νικολαου γκελεσταθη,υπουργου μεταφορων και επικοινωνιων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,παραιτηση,θεοδωρας μπακογιαννη,υφυπουργου στον πρωθυπουργο,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,παραιτηση,δημητριου σιουφα,"υφυπουργου υγειας, προνοιας και κοινωνικων ασφαλισεων",1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,παραιτηση,βασιλειου μπεκιρη,υφυπουργου εθνικης παιδειας και θρησκευματων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,παραιτηση,βυρωνα πολυδωρα,υφυπουργου εθνικης παιδειας και θρησκευματων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,παραιτηση,βασιλειου παπαγεωργοπουλου,υφυπουργου πολιτισμου,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,παραιτηση,βασιλειου μαντζωρη,"υφυπουργου βιομηχανιας, ενεργειας και τεχνολογιας και υφυπουργου εμποριου",1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,διορισμος,ιωαννη κεφαλογιαννη,υπουργου εσωτερικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,διορισμος,δημητριου σιουφα,"υπουργου υγειας, προνοιας και κοινωνικων ασφαλισεων",1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,διορισμος,αννας ψαρουδα-μπενακη,υπουργου δικαιοσυνης,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,διορισμος,αλεξανδρου παπαδογγονα,υπουργου εμπορικης ναυτιλιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,διορισμος,νικολαου γκελεσταθη,υπουργου δημοσιας ταξης,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,διορισμος,βασιλειου κοντογιαννοπουλου,"υπουργου βιομηχανιας, ενεργειας και τεχνολογιας και υπουργου εμποριου",1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,διορισμος,θεοδωρου αναγνωστοπουλου,υπουργου μεταφορων και επικοινωνιων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,διορισμος,κωνσταντινου σημαιοφοριδη,υφυπουργου στον πρωθυπουργο,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,διορισμος,σπηλιου σπηλιωτοπουλου,υφυπουργου εθνικης αμυνας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,διορισμος,βυρωνα πολυδωρα,υφυπουργου εξωτερικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,διορισμος,αγγελου μπρατακου,υφυπουργου εσωτερικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,διορισμος,θεοδωρου κασσιμη,υφυπουργου εθνικης οικονομιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,διορισμος,αποστολου σταυρου,υφυπουργου γεωργιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,διορισμος,ευαγγελου μπασιακου,υφυπουργου γεωργιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,διορισμος,ανδρεα καραγκουνη,υφυπουργου γεωργιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,διορισμος,νικολαου αγγελοπουλου,υφυπουργου εργασιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,διορισμος,νικολαου αναστασοπουλου,"υφυπουργου υγειας, προνοιας και κοινωνικων ασφαλισεων",1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,διορισμος,φανης παλλη-πετραλια,"υφυπουργου υγειας, προνοιας και κοινωνικων ασφαλισεων",1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,διορισμος,αναστασιου σπηλιοπουλου,υφυπουργου εθνικης παιδειας και θρησκευματων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,διορισμος,θωμα κουρτη,υφυπουργου εθνικης παιδειας και θρησκευματων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,διορισμος,ευαγγελου μειμαρακη,υφυπουργου πολιτισμου,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,διορισμος,καλλιοπης μπουρδαρα,υφυπουργου πολιτισμου,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,διορισμος,κωνσταντινου σαψαλη,υφυπουργου δημοσιας ταξης,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,διορισμος,γεωργιου βουλγαρακη,"υφυπουργου περιβαλλοντος, χωροταξιας και δημοσιων εργων",1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,διορισμος,θεοδωρου δαμιανου,"υφυπουργου βιομηχανιας, ενεργειας και τεχνολογιας",1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,διορισμος,μηχαηλ-γεωργιου λιαπη,υφυπουργου εμποριου,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-03,διορισμος,παναγιωτη δελημητσου,υφυπουργου μεταφορων και επικοινωνιων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1992-12-07,διορισμος,θεοδωρας μπακογιαννη,υπουργου πολιτισμου,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-05-11,παραιτηση,ανδρεα ανδριανοπουλου,υπουργου επικρατειας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-09-14,παραιτηση,ιωαννη κεφαλογιαννη,υπουργου εσωτερικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-09-14,παραιτηση,αννας ψαρουδα-μπενακη,υπουργου δικαιοσυνης,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-09-14,παραιτηση,νικολαου γκελεσταθη,υπουργου δημοσιας ταξης,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-09-14,διορισμος,ιωαννη γεωργακη,υπουργου εσωτερικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-09-14,διορισμος,γεωργιου πλαγιανακου,υπουργου δικαιοσυνης,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-09-14,διορισμος,δημητριου μανικα,υπουργου δημοσιας ταξης,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-09-14,διορισμος,γεωργιου κοντογιωργη,υφυπουργου προεδριας της κυβερνησης,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,κωνσταντινου μητσοτακη,πρωθυπουργου και υπουργου αιγαιου,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,τζαννη τζαννετακη,αντιπροεδρου της κυβερνησης και υπουργου επικρατειας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,σωτηριου κουβελα,υπουργου προεδριας της κυβερνησης,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,ιωαννου βαρβιτσιωτη,υπουργου εθνικης αμυνας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,μιχαηλ παπακωνσταντινου,υπουργου εξωτερικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,ιωαννη γεωργακη,υπουργου εσωτερικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,στεφανου μανου,υπουργου εθνικης οικονομιας και οικονομικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,χρηστου κοσκινα,υπουργου γεωργιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,αριστειδη καλατζακου,υπουργου εργασιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,δημητριου σιουφα,"υπουργου υγειας, προνοιας και κοινωνικων ασφαλισεων",1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,γεωργιου πλαγιανακου,υπουργου δικαιοσυνης,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,γεωργιου σουλφια,υπουργου εθνικης παιδειας και θρησκευματων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,θεοδωρας μπακογιαννη,υπουργου πολιτισμου,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,αλεξανδρου παπαδογγονα,υπουργου εμπορικης ναυτιλιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,δημητριου μανικα,υπουργου δημοσιας ταξης,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,παναγιωτη χατζηνικολαου,υπουργου μακεδονιας θρακης,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,αχιλλεα καραμανλη,"υπουργου περιβαλλοντος, χωροταξιας και δημοσιων εργων",1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,βασιλειου κοντογιαννοπουλου,"υπουργου βιομηχανιας, ενεργειας και τεχνολογιας και εμποριου",1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,θεοδωρου αναγνωστοπουλου,υπουργου μεταφορων και επικοινωνιων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,κωνσταντινου σημαιοφοριδη,υφυπουργου στον πρωθυπουργο,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,γεωργιου κοντογιωργη,υφυπουργου προεδριας της κυβερνησης,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,ιωαννου σταθοπουλου,υφυπουργου εθνικης αμυνας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,σπηλιου σπηλιωτοπουλου,υφυπουργου εθνικης αμυνας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,γεωργιου παπασταμκου,υφυπουργου εξωτερικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,βιργινιας τσουδερου,υφυπουργου εξωτερικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,βυρωνα πολυδωρα,υφυπουργου εξωτερικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,αγγελου μπρατακου,υφυπουργου εσωτερικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,αριστειδη τσιπλακου,υφυπουργου εθνικης οικονομιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,κωνσταντινου δουση,υφυπουργου εθνικης οικονομιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,θεοδωρου κασσιμη,υφυπουργου εθνικης οικονομιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,κων/νου γιατρακου,υφυπουργου οικονομικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,μιχαηλ γαλελιανου,υφυπουργου οικονομικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,πετρου δουκα,υφυπουργου οικονομικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,αποστολου σταυρου,υφυπουργου γεωγιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,ευαγγελου μπασιακου,υφυπουργου γεωγιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,ανδρεα καραγκουνη,υφυπουργου γεωγιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,νικολαου αγγελοπουλου,υφυπουργου εργασιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,νικολαου αναστασοπουλου,"υφυπουργου υγειας, προνοιας και κοινωνικων ασφαλισεων",1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,φανης παλλη-πετραλια,"υφυπουργου υγειας, προνοιας και κοινωνικων ασφαλισεων",1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,αναστασιου σπηλιοπουλου,υφυπουργου εθνικης παιδειας και θρησκευματων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,θωμα κουρτη,υφυπουργου εθνικης παιδειας και θρησκευματων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,ευαγγελου μειμαρακη,υφυπουργου πολιτισμου,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,καλλιοπης μπουρδαρα,υφυπουργου πολιτισμου,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,κωνσταντινου σαψαλη,υφυπουργου δημοσιας ταξης,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,γεωργιου μισαηλιδη,υφυπουργου αιγαιου,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,χρηστου κατσιγιαννη,"υφυπουργου περιβαλλοντος, χωροταξιας και δημοσιων εργων",1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,γεωργιου βουλγαρακη,"υφυπουργου περιβαλλοντος, χωροταξιας και δημοσιων εργων",1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,θεοδωρου δαμιανου,"υφυπουργου βιομηχανιας, ενεργειας και τεχνολογιας",1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,μιχαηλ-γεωργιου λιαπη,υφυπουργου εμποριου,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,παραιτηση,παναγιωτη δελημητσου,υφυπουργου μεταφορων και επικοινωνιων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1993-10-13,διορισμος,ανδρεα παπανδρεου,πρωθυπουργου,1993-10-13,1996-01-22,παπανδρεου ανδρεα
1993-10-13,διορισμος,αναστασιου πεπονη,υπουργου προεδριας της κυβερνησης,1993-10-13,1996-01-22,παπανδρεου ανδρεα
1993-10-13,διορισμος,γερασιμου αρσενη,υπουργου εθνικης αμυνας,1993-10-13,1996-01-22,παπανδρεου ανδρεα
1993-10-13,διορισμος,καρολου παπουλια,υπουργου εξωτερικων,1993-10-13,1996-01-22,παπανδρεου ανδρεα
1993-10-13,διορισμος,αποστολ.-αθανας. τσοχατζοπουλου,υπουργου εσωτερικων,1993-10-13,1996-01-22,παπανδρεου ανδρεα
1993-10-13,διορισμος,γεωργιου γεννηματα,υπουργου εθνικης οικονομιας και οικονομικων,1993-10-13,1996-01-22,παπανδρεου ανδρεα
1993-10-13,διορισμος,γεωργιου μωραιτη,υπουργου γεωργιας,1993-10-13,1996-01-22,παπανδρεου ανδρεα
1993-10-13,διορισμος,ευαγγελου γιαννοπουλου,υπουργου εργασιας,1993-10-13,1996-01-22,παπανδρεου ανδρεα
1993-10-13,διορισμος,δημητριου κρεμαστινου,"υπουργου υγειας, προνοιας και κοινωνικων ασφαλισεων",1993-10-13,1996-01-22,παπανδρεου ανδρεα
1993-10-13,διορισμος,γεωργιου κουβελακη,υπουργου δικαιοσυνης,1993-10-13,1996-01-22,παπανδρεου ανδρεα
1993-10-13,διορισμος,δημητριου φατουρου,υπουργου εθνικης παιδειας και θρησκευματων,1993-10-13,1996-01-22,παπανδρεου ανδρεα
1993-10-13,διορισμος,αμαλιας-μαριας (μελινας) μερκουρη,υπουργου πολιτισμου,1993-10-13,1996-01-22,παπανδρεου ανδρεα
1993-10-13,διορισμος,γεωργιου κατσιφαρα,υπουργου εμπορικης ναυτιλιας,1993-10-13,1996-01-22,παπανδρεου ανδρεα
1993-10-13,διορισμος,στυλιανου-αγγελου παπαθεμελη,υπουργου δημοσιας ταξης,1993-10-13,1996-01-22,παπανδρεου ανδρεα
1993-10-13,διορισμος,κωνσταντινου τριαριδη,υπουργου μακεδονιας-θρακης,1993-10-13,1996-01-22,παπανδρεου ανδρεα
1993-10-13,διορισμος,κωνσταντινου σκανδαλιδη,υπουργου αιγαιου,1993-10-13,1996-01-22,παπανδρεου ανδρεα
1993-10-13,διορισμος,κωνσταντινου λαλιωτη,"υπουργου περιβαλλοντος, χωροταξιας και δημοσιων εργων",1993-10-13,1996-01-22,παπανδρεου ανδρεα
1993-10-13,διορισμος,κωνσταντινου σημιτη,"υπουργου βιομηχανιας, ενεργειας και τεχνολογιας και υπουργου εμποριου",1993-10-13,1996-01-22,παπανδρεου ανδρεα
1993-10-13,διορισμος,ιωαννου χαραλαμπους,υπουργου μεταφορων και επικοινωνιων,1993-10-13,1996-01-22,παπανδρεου ανδρεα
1993-10-13,διορισμος,θεοδωρου παγκαλου,αναπληρωτη υπουργου εξωτερικων,1993-10-13,1996-01-22,παπανδρεου ανδρεα
1993-10-13,διορισμος,γιαννου παπαντωνιου,αναπληρωτη υπουργου εθνικης οικονομιας,1993-10-13,1996-01-22,παπανδρεου ανδρεα
1993-10-13,διορισμος,αθανασιου μικρουτσικου,αναπληρωτη υπουργου πολιτισμου,1993-10-13,1996-01-22,παπανδρεου ανδρεα
1993-10-13,διορισμος,ιωαννη σουλαδακη,"αναπληρωτη υπουργου περιβαλλοντος, χωροταξιας και δημοσιων εργων",1993-10-13,1996-01-22,παπανδρεου ανδρεα
1993-10-13,διορισμος,αντωνιου λιβανη,υφυπουργου στον πρωθυπουργο,1993-10-13,1996-01-22,παπανδρεου ανδρεα
1993-10-13,διορισμος,ευαγγελου βενιζελου,υφυπουργου προεδριας της κυβερνησης,1993-10-13,1996-01-22,παπανδρεου ανδρεα
1993-10-13,διορισμος,τηλεμαχου χυτηρη,υφυπουργου προεδριας της κυβερνησης,1993-10-13,1996-01-22,παπανδρεου ανδρεα
